token_id,sentence_ids,tokens_no_punct,lemma_no_punct,PoS,depparse,head,constituency,AoA(m+sd),Zipf_freq
1,0,orso,orso,NOUN,root,ROOT,(ROOT (f3 (sn (NOUN Orso) (sn (NOUN buco)) (PUNCT .)))),4.48 ± 1.53,4.192007611
2,0,buco,buco,NOUN,compound,Orso,(ROOT (f3 (sn (NOUN Orso) (sn (NOUN buco)) (PUNCT .)))),,4.52628082
3,1,orso,Orso,PROPN,nsubj,perso,(ROOT (fc (f (sn (PROPN Orso)) (ibar (PRON si) (AUX è) (VERB perso)) (compin (sp (ADP in) (sn (DET il) (NOUN bosco))))) (CCONJ e) (f (ibar (ADV non) (VERB trova)) (compt (savv (ADV più)) (sn (DET la) (sa (DET sua)) (NOUN tana) (PUNCT .)))))),,4.192007611
4,1,si,si,PRON,expl,perso,(ROOT (fc (f (sn (PROPN Orso)) (ibar (PRON si) (AUX è) (VERB perso)) (compin (sp (ADP in) (sn (DET il) (NOUN bosco))))) (CCONJ e) (f (ibar (ADV non) (VERB trova)) (compt (savv (ADV più)) (sn (DET la) (sa (DET sua)) (NOUN tana) (PUNCT .)))))),,6.553884221
5,1,è,essere,AUX,aux,perso,(ROOT (fc (f (sn (PROPN Orso)) (ibar (PRON si) (AUX è) (VERB perso)) (compin (sp (ADP in) (sn (DET il) (NOUN bosco))))) (CCONJ e) (f (ibar (ADV non) (VERB trova)) (compt (savv (ADV più)) (sn (DET la) (sa (DET sua)) (NOUN tana) (PUNCT .)))))),,7.249521761
6,1,perso,perdere,VERB,root,ROOT,(ROOT (fc (f (sn (PROPN Orso)) (ibar (PRON si) (AUX è) (VERB perso)) (compin (sp (ADP in) (sn (DET il) (NOUN bosco))))) (CCONJ e) (f (ibar (ADV non) (VERB trova)) (compt (savv (ADV più)) (sn (DET la) (sa (DET sua)) (NOUN tana) (PUNCT .)))))),,5.292824891
7,1,in,in,ADP,case,bosco,(ROOT (fc (f (sn (PROPN Orso)) (ibar (PRON si) (AUX è) (VERB perso)) (compin (sp (ADP in) (sn (DET il) (NOUN bosco))))) (CCONJ e) (f (ibar (ADV non) (VERB trova)) (compt (savv (ADV più)) (sn (DET la) (sa (DET sua)) (NOUN tana) (PUNCT .)))))),,6.797274494
8,1,il,il,DET,det,bosco,(ROOT (fc (f (sn (PROPN Orso)) (ibar (PRON si) (AUX è) (VERB perso)) (compin (sp (ADP in) (sn (DET il) (NOUN bosco))))) (CCONJ e) (f (ibar (ADV non) (VERB trova)) (compt (savv (ADV più)) (sn (DET la) (sa (DET sua)) (NOUN tana) (PUNCT .)))))),,7.039560886
9,1,bosco,bosco,NOUN,obl,perso,(ROOT (fc (f (sn (PROPN Orso)) (ibar (PRON si) (AUX è) (VERB perso)) (compin (sp (ADP in) (sn (DET il) (NOUN bosco))))) (CCONJ e) (f (ibar (ADV non) (VERB trova)) (compt (savv (ADV più)) (sn (DET la) (sa (DET sua)) (NOUN tana) (PUNCT .)))))),4.52 ± 1.26,4.24188269
10,1,e,e,CCONJ,cc,trova,(ROOT (fc (f (sn (PROPN Orso)) (ibar (PRON si) (AUX è) (VERB perso)) (compin (sp (ADP in) (sn (DET il) (NOUN bosco))))) (CCONJ e) (f (ibar (ADV non) (VERB trova)) (compt (savv (ADV più)) (sn (DET la) (sa (DET sua)) (NOUN tana) (PUNCT .)))))),,2.741151583
