token_id,sentence_ids,tokens_no_punct,lemma_no_punct,PoS,depparse,head,constituency,AoA(m+sd),Zipf_freq
1,0,il,il,DET,det,paese,(ROOT (f3 (sn (DET Il) (NOUN paese) (spd (ADP di) (sn (DET i) (NOUN cani) (PUNCT .)))))),,7.039560886
2,0,paese,paese,NOUN,root,ROOT,(ROOT (f3 (sn (DET Il) (NOUN paese) (spd (ADP di) (sn (DET i) (NOUN cani) (PUNCT .)))))),,5.055196927
3,0,di,di,ADP,case,cani,(ROOT (f3 (sn (DET Il) (NOUN paese) (spd (ADP di) (sn (DET i) (NOUN cani) (PUNCT .)))))),,7.232814475
4,0,i,il,DET,det,cani,(ROOT (f3 (sn (DET Il) (NOUN paese) (spd (ADP di) (sn (DET i) (NOUN cani) (PUNCT .)))))),,6.584780852
5,0,cani,cane,NOUN,nmod,paese,(ROOT (f3 (sn (DET Il) (NOUN paese) (spd (ADP di) (sn (DET i) (NOUN cani) (PUNCT .)))))),2.76 ± 1.23,4.594472684
6,1,c,ci,PRON,expl,era,(ROOT (f (ibar (PRON C') (VERB era)) (compc (sn (DET una) (NOUN volta)) (sn (DET uno) (sa (ADJ strano)) (sa (ADJ piccolo)) (NOUN paese))) (PUNCT .))),,6.166704172
7,1,era,essere,VERB,root,ROOT,(ROOT (f (ibar (PRON C') (VERB era)) (compc (sn (DET una) (NOUN volta)) (sn (DET uno) (sa (ADJ strano)) (sa (ADJ piccolo)) (NOUN paese))) (PUNCT .))),,6.283626334
8,1,una,uno,DET,det,volta,(ROOT (f (ibar (PRON C') (VERB era)) (compc (sn (DET una) (NOUN volta)) (sn (DET uno) (sa (ADJ strano)) (sa (ADJ piccolo)) (NOUN paese))) (PUNCT .))),,6.801817508
9,1,volta,volta,NOUN,obl,era,(ROOT (f (ibar (PRON C') (VERB era)) (compc (sn (DET una) (NOUN volta)) (sn (DET uno) (sa (ADJ strano)) (sa (ADJ piccolo)) (NOUN paese))) (PUNCT .))),,5.820011577
10,1,uno,uno,DET,det,paese,(ROOT (f (ibar (PRON C') (VERB era)) (compc (sn (DET una) (NOUN volta)) (sn (DET uno) (sa (ADJ strano)) (sa (ADJ piccolo)) (NOUN paese))) (PUNCT .))),,6.015055575
11,1,strano,strano,ADJ,amod,paese,(ROOT (f (ibar (PRON C') (VERB era)) (compc (sn (DET una) (NOUN volta)) (sn (DET uno) (sa (ADJ strano)) (sa (ADJ piccolo)) (NOUN paese))) (PUNCT .))),5.88 ± 2.11,5.190553923
12,1,piccolo,piccolo,ADJ,amod,paese,(ROOT (f (ibar (PRON C') (VERB era)) (compc (sn (DET una) (NOUN volta)) (sn (DET uno) (sa (ADJ strano)) (sa (ADJ piccolo)) (NOUN paese))) (PUNCT .))),4.12 ± 3.18,5.291431625
13,1,paese,paese,NOUN,nsubj,era,(ROOT (f (ibar (PRON C') (VERB era)) (compc (sn (DET una) (NOUN volta)) (sn (DET uno) (sa (ADJ strano)) (sa (ADJ piccolo)) (NOUN paese))) (PUNCT .))),,5.055196927
14,2,era,essere,AUX,aux:pass,composto,"(ROOT (fc (f (ibar (AUX Era) (VERB composto)) (comppas (sp (ADP in) (sq (PRON tutto))) (spd (ADP di) (sn (NUM novantanove) (NOUN casette))))) (PUNCT ,) (CCONJ e) (f (sn (sq (DET ogni)) (NOUN casetta)) (ibar (VERB aveva)) (compc (sn (DET un) (NOUN giardinetto)) (coord (sp (ADP con) (sn (DET un) (NOUN cancelletto))) (PUNCT ,) (CCONJ e) (sp (ADP dietro) (sn (DET il) (NOUN cancelletto))) (sn (DET un) (NOUN cane) (f2 (PRON che) (f (ibar (VERB abbaiava)))))))) (PUNCT .)))",,6.283626334
15,2,composto,comporre,VERB,root,ROOT,"(ROOT (fc (f (ibar (AUX Era) (VERB composto)) (comppas (sp (ADP in) (sq (PRON tutto))) (spd (ADP di) (sn (NUM novantanove) (NOUN casette))))) (PUNCT ,) (CCONJ e) (f (sn (sq (DET ogni)) (NOUN casetta)) (ibar (VERB aveva)) (compc (sn (DET un) (NOUN giardinetto)) (coord (sp (ADP con) (sn (DET un) (NOUN cancelletto))) (PUNCT ,) (CCONJ e) (sp (ADP dietro) (sn (DET il) (NOUN cancelletto))) (sn (DET un) (NOUN cane) (f2 (PRON che) (f (ibar (VERB abbaiava)))))))) (PUNCT .)))",,3.805820446
16,2,in,in,ADP,case,tutto,"(ROOT (fc (f (ibar (AUX Era) (VERB composto)) (comppas (sp (ADP in) (sq (PRON tutto))) (spd (ADP di) (sn (NUM novantanove) (NOUN casette))))) (PUNCT ,) (CCONJ e) (f (sn (sq (DET ogni)) (NOUN casetta)) (ibar (VERB aveva)) (compc (sn (DET un) (NOUN giardinetto)) (coord (sp (ADP con) (sn (DET un) (NOUN cancelletto))) (PUNCT ,) (CCONJ e) (sp (ADP dietro) (sn (DET il) (NOUN cancelletto))) (sn (DET un) (NOUN cane) (f2 (PRON che) (f (ibar (VERB abbaiava)))))))) (PUNCT .)))",,6.797274494
17,2,tutto,tutto,PRON,obl,composto,"(ROOT (fc (f (ibar (AUX Era) (VERB composto)) (comppas (sp (ADP in) (sq (PRON tutto))) (spd (ADP di) (sn (NUM novantanove) (NOUN casette))))) (PUNCT ,) (CCONJ e) (f (sn (sq (DET ogni)) (NOUN casetta)) (ibar (VERB aveva)) (compc (sn (DET un) (NOUN giardinetto)) (coord (sp (ADP con) (sn (DET un) (NOUN cancelletto))) (PUNCT ,) (CCONJ e) (sp (ADP dietro) (sn (DET il) (NOUN cancelletto))) (sn (DET un) (NOUN cane) (f2 (PRON che) (f (ibar (VERB abbaiava)))))))) (PUNCT .)))",,6.306603623
18,2,di,di,ADP,case,casette,"(ROOT (fc (f (ibar (AUX Era) (VERB composto)) (comppas (sp (ADP in) (sq (PRON tutto))) (spd (ADP di) (sn (NUM novantanove) (NOUN casette))))) (PUNCT ,) (CCONJ e) (f (sn (sq (DET ogni)) (NOUN casetta)) (ibar (VERB aveva)) (compc (sn (DET un) (NOUN giardinetto)) (coord (sp (ADP con) (sn (DET un) (NOUN cancelletto))) (PUNCT ,) (CCONJ e) (sp (ADP dietro) (sn (DET il) (NOUN cancelletto))) (sn (DET un) (NOUN cane) (f2 (PRON che) (f (ibar (VERB abbaiava)))))))) (PUNCT .)))",,7.232814475
19,2,novantanove,novantanove,NUM,nummod,casette,"(ROOT (fc (f (ibar (AUX Era) (VERB composto)) (comppas (sp (ADP in) (sq (PRON tutto))) (spd (ADP di) (sn (NUM novantanove) (NOUN casette))))) (PUNCT ,) (CCONJ e) (f (sn (sq (DET ogni)) (NOUN casetta)) (ibar (VERB aveva)) (compc (sn (DET un) (NOUN giardinetto)) (coord (sp (ADP con) (sn (DET un) (NOUN cancelletto))) (PUNCT ,) (CCONJ e) (sp (ADP dietro) (sn (DET il) (NOUN cancelletto))) (sn (DET un) (NOUN cane) (f2 (PRON che) (f (ibar (VERB abbaiava)))))))) (PUNCT .)))",,2.543105748
20,2,casette,casetta,NOUN,obl,composto,"(ROOT (fc (f (ibar (AUX Era) (VERB composto)) (comppas (sp (ADP in) (sq (PRON tutto))) (spd (ADP di) (sn (NUM novantanove) (NOUN casette))))) (PUNCT ,) (CCONJ e) (f (sn (sq (DET ogni)) (NOUN casetta)) (ibar (VERB aveva)) (compc (sn (DET un) (NOUN giardinetto)) (coord (sp (ADP con) (sn (DET un) (NOUN cancelletto))) (PUNCT ,) (CCONJ e) (sp (ADP dietro) (sn (DET il) (NOUN cancelletto))) (sn (DET un) (NOUN cane) (f2 (PRON che) (f (ibar (VERB abbaiava)))))))) (PUNCT .)))",3.96 ± 1.67,2.605896578
21,2,e,e,CCONJ,cc,aveva,"(ROOT (fc (f (ibar (AUX Era) (VERB composto)) (comppas (sp (ADP in) (sq (PRON tutto))) (spd (ADP di) (sn (NUM novantanove) (NOUN casette))))) (PUNCT ,) (CCONJ e) (f (sn (sq (DET ogni)) (NOUN casetta)) (ibar (VERB aveva)) (compc (sn (DET un) (NOUN giardinetto)) (coord (sp (ADP con) (sn (DET un) (NOUN cancelletto))) (PUNCT ,) (CCONJ e) (sp (ADP dietro) (sn (DET il) (NOUN cancelletto))) (sn (DET un) (NOUN cane) (f2 (PRON che) (f (ibar (VERB abbaiava)))))))) (PUNCT .)))",,2.741151583
22,2,ogni,ogni,DET,det,casetta,"(ROOT (fc (f (ibar (AUX Era) (VERB composto)) (comppas (sp (ADP in) (sq (PRON tutto))) (spd (ADP di) (sn (NUM novantanove) (NOUN casette))))) (PUNCT ,) (CCONJ e) (f (sn (sq (DET ogni)) (NOUN casetta)) (ibar (VERB aveva)) (compc (sn (DET un) (NOUN giardinetto)) (coord (sp (ADP con) (sn (DET un) (NOUN cancelletto))) (PUNCT ,) (CCONJ e) (sp (ADP dietro) (sn (DET il) (NOUN cancelletto))) (sn (DET un) (NOUN cane) (f2 (PRON che) (f (ibar (VERB abbaiava)))))))) (PUNCT .)))",,5.722242451
23,2,casetta,casetta,NOUN,nsubj,aveva,"(ROOT (fc (f (ibar (AUX Era) (VERB composto)) (comppas (sp (ADP in) (sq (PRON tutto))) (spd (ADP di) (sn (NUM novantanove) (NOUN casette))))) (PUNCT ,) (CCONJ e) (f (sn (sq (DET ogni)) (NOUN casetta)) (ibar (VERB aveva)) (compc (sn (DET un) (NOUN giardinetto)) (coord (sp (ADP con) (sn (DET un) (NOUN cancelletto))) (PUNCT ,) (CCONJ e) (sp (ADP dietro) (sn (DET il) (NOUN cancelletto))) (sn (DET un) (NOUN cane) (f2 (PRON che) (f (ibar (VERB abbaiava)))))))) (PUNCT .)))",3.96 ± 1.67,3.630255924
24,2,aveva,avere,VERB,conj,composto,"(ROOT (fc (f (ibar (AUX Era) (VERB composto)) (comppas (sp (ADP in) (sq (PRON tutto))) (spd (ADP di) (sn (NUM novantanove) (NOUN casette))))) (PUNCT ,) (CCONJ e) (f (sn (sq (DET ogni)) (NOUN casetta)) (ibar (VERB aveva)) (compc (sn (DET un) (NOUN giardinetto)) (coord (sp (ADP con) (sn (DET un) (NOUN cancelletto))) (PUNCT ,) (CCONJ e) (sp (ADP dietro) (sn (DET il) (NOUN cancelletto))) (sn (DET un) (NOUN cane) (f2 (PRON che) (f (ibar (VERB abbaiava)))))))) (PUNCT .)))",,5.632280537
