token_id,sentence_ids,tokens_no_punct,lemma_no_punct,PoS,depparse,head,constituency,AoA(m+sd),Zipf_freq
1,0,una,uno,DET,det,bambina,(ROOT (f3 (sn (DET Una) (NOUN bambina) (sp (ADP senza) (sn (NOUN nome) (PUNCT .)))))),,6.801817508
2,0,bambina,bambino,NOUN,root,ROOT,(ROOT (f3 (sn (DET Una) (NOUN bambina) (sp (ADP senza) (sn (NOUN nome) (PUNCT .)))))),3.20 ± 1.12,4.98282431
3,0,senza,senza,ADP,case,nome,(ROOT (f3 (sn (DET Una) (NOUN bambina) (sp (ADP senza) (sn (NOUN nome) (PUNCT .)))))),,5.710022415
4,0,nome,nome,NOUN,nmod,bambina,(ROOT (f3 (sn (DET Una) (NOUN bambina) (sp (ADP senza) (sn (NOUN nome) (PUNCT .)))))),3.64 ± 1.75,5.545943498
5,0,,,PUNCT,punct,bambina,(ROOT (f3 (sn (DET Una) (NOUN bambina) (sp (ADP senza) (sn (NOUN nome) (PUNCT .)))))),,
6,1,c’,ci,PRON,expl,era,"(ROOT (dirsp (f (ibar (PRON C’) (VERB era)) (compc (sn (DET una) (NOUN bambina) (f2 (PRON che) (f (ibar (VERB aveva)) (compc (sn (DET un) (NOUN nome)) (sc (ADP come) (sn (sq (DET tutti)) (DET i) (NOUN bambini) (spd (ADP di) (sn (DET il) (NOUN mondo))))))))))) (PUNCT :) (fc (f (ibar (AUX era)) (compc (sa (ADJ allegra)))) (PUNCT ,) (CCONJ e) (f (ibar (VERB andava)) (compin (savv (ADV spesso)) (sv2 (ADP a) (VERB giocare) (compt (sp (ADP in) (sn (NOUN giardino) (PUNCT .))))))))))",,
7,1,era,essere,VERB,root,ROOT,"(ROOT (dirsp (f (ibar (PRON C’) (VERB era)) (compc (sn (DET una) (NOUN bambina) (f2 (PRON che) (f (ibar (VERB aveva)) (compc (sn (DET un) (NOUN nome)) (sc (ADP come) (sn (sq (DET tutti)) (DET i) (NOUN bambini) (spd (ADP di) (sn (DET il) (NOUN mondo))))))))))) (PUNCT :) (fc (f (ibar (AUX era)) (compc (sa (ADJ allegra)))) (PUNCT ,) (CCONJ e) (f (ibar (VERB andava)) (compin (savv (ADV spesso)) (sv2 (ADP a) (VERB giocare) (compt (sp (ADP in) (sn (NOUN giardino) (PUNCT .))))))))))",,6.283626334
8,1,una,uno,DET,det,bambina,"(ROOT (dirsp (f (ibar (PRON C’) (VERB era)) (compc (sn (DET una) (NOUN bambina) (f2 (PRON che) (f (ibar (VERB aveva)) (compc (sn (DET un) (NOUN nome)) (sc (ADP come) (sn (sq (DET tutti)) (DET i) (NOUN bambini) (spd (ADP di) (sn (DET il) (NOUN mondo))))))))))) (PUNCT :) (fc (f (ibar (AUX era)) (compc (sa (ADJ allegra)))) (PUNCT ,) (CCONJ e) (f (ibar (VERB andava)) (compin (savv (ADV spesso)) (sv2 (ADP a) (VERB giocare) (compt (sp (ADP in) (sn (NOUN giardino) (PUNCT .))))))))))",,6.801817508
9,1,bambina,bambino,NOUN,nsubj,era,"(ROOT (dirsp (f (ibar (PRON C’) (VERB era)) (compc (sn (DET una) (NOUN bambina) (f2 (PRON che) (f (ibar (VERB aveva)) (compc (sn (DET un) (NOUN nome)) (sc (ADP come) (sn (sq (DET tutti)) (DET i) (NOUN bambini) (spd (ADP di) (sn (DET il) (NOUN mondo))))))))))) (PUNCT :) (fc (f (ibar (AUX era)) (compc (sa (ADJ allegra)))) (PUNCT ,) (CCONJ e) (f (ibar (VERB andava)) (compin (savv (ADV spesso)) (sv2 (ADP a) (VERB giocare) (compt (sp (ADP in) (sn (NOUN giardino) (PUNCT .))))))))))",3.20 ± 1.12,4.98282431
10,1,che,che,PRON,nsubj,aveva,"(ROOT (dirsp (f (ibar (PRON C’) (VERB era)) (compc (sn (DET una) (NOUN bambina) (f2 (PRON che) (f (ibar (VERB aveva)) (compc (sn (DET un) (NOUN nome)) (sc (ADP come) (sn (sq (DET tutti)) (DET i) (NOUN bambini) (spd (ADP di) (sn (DET il) (NOUN mondo))))))))))) (PUNCT :) (fc (f (ibar (AUX era)) (compc (sa (ADJ allegra)))) (PUNCT ,) (CCONJ e) (f (ibar (VERB andava)) (compin (savv (ADV spesso)) (sv2 (ADP a) (VERB giocare) (compt (sp (ADP in) (sn (NOUN giardino) (PUNCT .))))))))))",,7.250456545
11,1,aveva,avere,VERB,acl:relcl,bambina,"(ROOT (dirsp (f (ibar (PRON C’) (VERB era)) (compc (sn (DET una) (NOUN bambina) (f2 (PRON che) (f (ibar (VERB aveva)) (compc (sn (DET un) (NOUN nome)) (sc (ADP come) (sn (sq (DET tutti)) (DET i) (NOUN bambini) (spd (ADP di) (sn (DET il) (NOUN mondo))))))))))) (PUNCT :) (fc (f (ibar (AUX era)) (compc (sa (ADJ allegra)))) (PUNCT ,) (CCONJ e) (f (ibar (VERB andava)) (compin (savv (ADV spesso)) (sv2 (ADP a) (VERB giocare) (compt (sp (ADP in) (sn (NOUN giardino) (PUNCT .))))))))))",,5.632280537
12,1,un,uno,DET,det,nome,"(ROOT (dirsp (f (ibar (PRON C’) (VERB era)) (compc (sn (DET una) (NOUN bambina) (f2 (PRON che) (f (ibar (VERB aveva)) (compc (sn (DET un) (NOUN nome)) (sc (ADP come) (sn (sq (DET tutti)) (DET i) (NOUN bambini) (spd (ADP di) (sn (DET il) (NOUN mondo))))))))))) (PUNCT :) (fc (f (ibar (AUX era)) (compc (sa (ADJ allegra)))) (PUNCT ,) (CCONJ e) (f (ibar (VERB andava)) (compin (savv (ADV spesso)) (sv2 (ADP a) (VERB giocare) (compt (sp (ADP in) (sn (NOUN giardino) (PUNCT .))))))))))",,7.065833912
13,1,nome,nome,NOUN,obj,aveva,"(ROOT (dirsp (f (ibar (PRON C’) (VERB era)) (compc (sn (DET una) (NOUN bambina) (f2 (PRON che) (f (ibar (VERB aveva)) (compc (sn (DET un) (NOUN nome)) (sc (ADP come) (sn (sq (DET tutti)) (DET i) (NOUN bambini) (spd (ADP di) (sn (DET il) (NOUN mondo))))))))))) (PUNCT :) (fc (f (ibar (AUX era)) (compc (sa (ADJ allegra)))) (PUNCT ,) (CCONJ e) (f (ibar (VERB andava)) (compin (savv (ADV spesso)) (sv2 (ADP a) (VERB giocare) (compt (sp (ADP in) (sn (NOUN giardino) (PUNCT .))))))))))",3.64 ± 1.75,5.545943498
14,1,come,come,ADP,case,bambini,"(ROOT (dirsp (f (ibar (PRON C’) (VERB era)) (compc (sn (DET una) (NOUN bambina) (f2 (PRON che) (f (ibar (VERB aveva)) (compc (sn (DET un) (NOUN nome)) (sc (ADP come) (sn (sq (DET tutti)) (DET i) (NOUN bambini) (spd (ADP di) (sn (DET il) (NOUN mondo))))))))))) (PUNCT :) (fc (f (ibar (AUX era)) (compc (sa (ADJ allegra)))) (PUNCT ,) (CCONJ e) (f (ibar (VERB andava)) (compin (savv (ADV spesso)) (sv2 (ADP a) (VERB giocare) (compt (sp (ADP in) (sn (NOUN giardino) (PUNCT .))))))))))",,6.562704781
15,1,tutti,tutto,DET,det:predet,bambini,"(ROOT (dirsp (f (ibar (PRON C’) (VERB era)) (compc (sn (DET una) (NOUN bambina) (f2 (PRON che) (f (ibar (VERB aveva)) (compc (sn (DET un) (NOUN nome)) (sc (ADP come) (sn (sq (DET tutti)) (DET i) (NOUN bambini) (spd (ADP di) (sn (DET il) (NOUN mondo))))))))))) (PUNCT :) (fc (f (ibar (AUX era)) (compc (sa (ADJ allegra)))) (PUNCT ,) (CCONJ e) (f (ibar (VERB andava)) (compin (savv (ADV spesso)) (sv2 (ADP a) (VERB giocare) (compt (sp (ADP in) (sn (NOUN giardino) (PUNCT .))))))))))",,6.110511188
