word,surprisal_bits
piccolo,9.843100943026817
ragno,12.426346400324134
tesse,15.577960810123464
e,7.186402383476597
tace,13.833656010798073
.,3.207004174232112
Splende,15.412209262684067
il,3.3234085676767937
sole,4.605182881806444
e,2.473425075675616
soffia,8.913299647076354
il,3.512266500207563
vento,1.4242902315155546
.,1.0432908736837436
Soffia,12.838528964479785
già,12.079973341486436
di,5.136796390096662
buon,10.286169527485619
mattino,4.692030680839145
e,2.6989756787506165
porta,8.69214282451885
con,3.515335358629559
sé,0.39592590408284506
sopra,11.515029595459007
i,3.7422626828247156
campi,7.362498859348045
il,5.709628636353867
piccolo,5.754568390954922
ragno,0.9269277103923773
.,1.596375470029603
Con,7.107168600362894
l’argenteo,24.223372659234688
filo,9.213226179062039
sottile,7.374950403270511
il,6.135050424972937
piccolo,2.2491657183432943
ragno,0.21107163864970413
rimane,10.030314377450036
impigliato,7.969186954570246
fra,6.523188438676763
i,1.9894399267673926
pali,7.870831420156265
di,4.126828960835422
un,3.1581421832954795
recinto…,17.522734672272506
E,6.281462695305464
comincia,9.25188237553117
subito,7.654556357390248
a,0.5232993080038939
tessere,11.454172502555297
la,2.9325993194397677
sua,2.621149401651575
tela,2.0051971492220937
.,2.117270331587447
Arriva,9.822234631962933
il,2.658168323284493
cavallo,10.737158944912558
e,2.841303361125151
gli,4.989202254987406
dice,4.429856544245561
:,0.745521573832409
<<,9.377317577972658
Hiii,25.28891871137719
!,2.8715943214563158
Hiii,3.3333419308764123
!,0.26275539495783806
Vuoi,13.216171908897358
venire,6.998739730369325
a,2.374010676327021
cavalcare,10.991547082936282
?>>,5.077111358958582
.,1.8708850622563222
Il,13.878741262721759
piccolo,3.1061470124254282
ragno,0.1566047549551876
tesse,4.630955911644022
e,3.7128158133439855
tace,4.608102531842673
.,1.5738756677478252
Arriva,15.554452157611726
la,6.235980851388889
mucca,13.103296771431033
e,1.0313305122121403
gli,5.406968751851272
dice,3.797392753454694
:,0.8145749299196133
<<Muuu,25.97705573700512
!,2.0851205827657564
Muuu,17.401586759749197
!,0.21924918024521828
Vuoi,9.302757595378804
mangiare,8.587616584838658
un,8.119642160812507
po,5.72422411600199
',2.581746112547095
di,7.084241937141675
fieno,20.764154745131545
e,2.531426052696448
di,11.367784929096304
avena,23.743804390263755
?>>,12.066500564583148
.,0.21806297290655477
Il,12.945226313144468
piccolo,0.4771783335610501
ragno,0.04113670627336944
tesse,6.783275544304295
e,2.1479142003181817
tace,4.245819829582332
.,2.1450749387350876
Arriva,14.873565963539832
la,5.94132710324926
pecora,17.19775189005069
e,2.0048402852215537
gli,6.566772282058415
dice,4.788283867082232
:,3.905852580325419
<<Beee,33.051100951764134
!,8.448636716745819
Beee,30.921261612103677
!,3.493050878626661
Andiamo,15.281505371733395
insieme,10.071347374154092
per,9.582254168532591
prati,16.054599720100082
?>>,23.214364054749844
.,0.4799202529637559
Il,3.334740504542144
piccolo,0.4596294818409854
ragno,0.06626453379093357
tesse,10.054144293553588
e,2.7347697399440896
tace,5.447818076458664
.,3.893788685297997
Arriva,14.817963284585282
la,5.790839532021888
capra,23.34424604061204
e,5.111007591599783
gli,7.4654401069178835
dice,6.469681196340325
:,7.876809537100256
<<Meee,37.15704674723588
!,10.169039711219598
Meee,32.629009435196366
!,3.461661981052388
Facciamo,13.43406292065088
chi,15.26954844991481
salta,7.869354433150655
di,14.864333934841516
più,11.084005987936033
?>>,26.00989113766014
.,0.45280151262775564
Il,3.1175718199222446
piccolo,0.4407494414075799
ragno,0.17493270689426327
tesse,11.762119305728065
e,3.9944587299805416
tace,4.970273509201638
.,5.077035514609551
Arriva,7.0192228640870855
il,0.3901550262331435
maiale,15.487311506576091
e,2.130946391984057
gli,8.06842297566315
dice,7.070677321502824
:,6.460088004075198
<<Gronf,46.193824917888115
!,4.169112615376552
Gronf,38.287308817504325
!,3.525695937482836
",",10.203463758616298
perché,11.164705063235086
non,7.242998434222531
andiamo,17.156983746628963
a,9.17263689759721
rotolarci,49.48093998675333
nel,12.134171266148739
prato,9.867274824432092
?>>,25.627620484073155
.,0.39708519613664855
Il,2.918611626479794
piccolo,0.5678689559402925
ragno,0.1962626885593301
tesse,14.417378542473216
e,3.796401101489819
tace,5.077255877458078
.,5.167745700015329
Arriva,14.142251704512548
il,0.5290341984839024
cane,11.39257244459986
e,1.3906790601181578
gli,7.240992428582866
dice,8.057850170218707
:<<,21.195624303668207
Bau,24.524969540470135
!,4.283119226702904
Bau,22.213186314808897
!,3.934848855260889
Vieni,19.707922606927
",",5.186864667346446
che,8.235196615996625
andiamo,17.386246251257536
a,10.299039333214985
caccia,10.044412827237165
dal,10.925724850902162
gatto,6.76376396207909
!>>,17.007742361689743
.,0.7101673152728549
Il,12.171356666987693
piccolo,0.43330070081606076
ragno,0.16792954110438266
tesse,13.786007185480628
e,4.327956823609346
tace,5.280008753914464
.,5.099991758846719
Arriva,14.289530767405424
il,0.5183570855617121
gatto,9.137646683313868
e,1.7617601784747108
gli,8.062593451729503
dice,8.099653649198629
:<<Maoo,58.7721300290351
!,3.6057249683741284
Maooo,25.10501336324332
!,6.753914859629479
Se,6.722620896478482
andassimo,29.392185877061756
a,10.293274474758062
farci,13.583566751115317
un,6.582403441230034
pisolino>>,56.76037948090188
.,0.5044961868110868
Il,11.950500674333295
piccolo,0.8091852516155491
ragno,0.17248064006452649
tesse,13.528027705741586
e,4.576055556091017
tace,4.946950986929217
.,4.476887951846409
Arriva,14.321525043910732
l’anatra,50.623600544296444
e,5.822875084363406
gli,7.981000754576566
