word;surprisal_bits
possibile;1,65157E+16
e;7,7845E+15
il;5,13606E+15
lupo;1,39095E+16
,;1,52365E+16
colto;1,26506E+16
alla;1,11398E+16
sprovvista;1,56988E+16
,;1,53388E+16
ululando;2,42914E+15
e;7,3951E+15
ululando;2,70134E+15
,;1,62801E+16
fuggì;2,2358E+15
a;7,77279E+15
zampe;1,82421E+16
levate;2,89196E+15
.;1,27989E+16
L’anatra;5,35454E+15
,;7,94037E+15
il;5,36918E+15
gatto;1,34625E+14
,;1,6007E+16
il;5,43589E+15
cane;8,97127E+14
e;5,8584E+15
il;4,95152E+15
tacchino;2,60504E+16
uscirono;2,34739E+15
dallo;1,61329E+14
stagno;5,12032E+15
,;1,16143E+16
mogi;2,55365E+15
mogi;2,69433E+16
,;2,68068E+15
grondanti;3,90471E+15
d’acqua;3,01237E+15
e;6,37369E+15
se;7,28436E+15
ne;4,12143E+15
andarono;2,08502E+15
via;5,85419E+15
.;1,22184E+15
Il;2,28443E+16
fatto;1,37179E+16
è;1,24212E+16
che;6,69939E+15
la;4,61481E+14
giornata;1,73009E+15
si;6,60268E+15
era;3,48818E+16
fatta;1,45227E+16
bella;2,08031E+16
e;6,34829E+14
il;4,86967E+15
sole;9,06943E+15
scaldava;1,8644E+15
l’aria;1,97562E+16
e;6,38879E+15
alla;1,06343E+16
paperetta;2,17929E+16
,;2,03842E+16
nulla;1,31011E+16
sembrò;1,77335E+16
più;1,38611E+16
opportuno;1,80004E+15
che;9,17063E+15
farsi;2,04879E+16
un;8,83592E+15
bel;9,00881E+15
bagnetto;3,6245E+15
nello;1,39667E+15
stagno;3,66938E+16
.;1,52846E+16
