TOKEN,BEGIN,ORT
0,0,
1,89523,Bianco
2,115101,e
3,118188,nero
4,138033,
5,213444,c
6,220059,era
7,234171,una
8,241668,gallina
9,265041,bianca
10,291501,
11,313992,contenta
12,346185,di
13,352359,essere
14,370881,bianca
15,396900,
16,421596,che
17,428652,faceva
18,446733,bellissime
19,482013,uova
20,499653,bianche
21,525672,
22,567126,le
23,575064,covava
24,597555,contenta
25,635922,
26,648711,comoda
27,676494,
28,702072,Immaginate
29,728532,come
30,743967,rimase
31,771750,
32,783657,cosa
33,799092,pens√≤
34,825993,
35,844074,cosa
36,863478,disse
37,889056,
38,897876,cosa
39,915075,cocc√≤
40,969975,quando
41,987297,una
42,995337,mattina
43,1017828,guard√≤
44,1035909,l
45,1041201,uovo
46,1056636,appena
47,1074717,fatto
48,1099854,
49,1109115,e
50,1115730,vide
51,1135134,che
52,1143072,era
53,1152333,nero
54,1169973,
55,1224216,E
56,1229508,questo
57,1256409,
58,1263024,cooo
59,1296981,
60,1302714,cos
61,1321677,è
62,1332702,
63,1344609,strillava
64,1387386,
65,1408113,Ma
66,1425192,coooo
67,1462276,come
68,1480437,pu√≤
69,1489698,essermi
70,1511307,venuto
71,1535412,un
72,1542177,uovo
73,1556730,cos√¨
74,1577016,buio
75,1601712,
76,1633464,Piangeva
77,1670067,
78,1679769,si
79,1692117,sconsolava
80,1733571,
81,1756944,e
82,1763118,le
83,1769733,altre
84,1784727,galline
85,1814715,
86,1825740,le
87,1834119,facevano
88,1860579,coo
89,1897182,di
90,1902474,consolazione
91,1954071,
92,1980972,ma
93,1986264,lei
94,2007873,
95,2015370,non
96,2025954,si
97,2033892,consolava
98,2073141,
99,2136204,Quando
100,2151198,poi
101,2164869,si
102,2169720,mise
103,2183832,a
104,2186037,covare
105,2219553,
106,2240721,non
107,2251305,dico
108,2268504,che
109,2279780,quello
110,2295405,non
111,2301138,lo
112,2309958,covasse
113,2350089,
114,2358027,ma
115,2362878,lo
116,2371257,teneva
117,2392425,un
118,2403891,po
119,2414034,discosto
120,2460780,
121,2468277,come
122,2483271,per
123,2490768,paura
124,2507526,che
125,2511936,sporcasse
126,2550303,le
127,2556918,altre
128,2572353,uova
129,2596167,
130,2642031,Chiss√†
131,2666727,cosa
132,2681280,uscir√†
133,2708622,da
134,2715237,quest‚Äôuovo
135,2753604,
136,2762865,si
137,2774772,lamentava
138,2815344,
139,2843568,Chiss√†
140,2866941,che
141,2872674,uccellaccio
142,2924271,
143,2927358,che
144,2936619,corvaccio
145,2985570,
146,3017322,E
147,3021732,se
148,3030993,sar√†
149,3049074,un
150,3054807,pulcino
151,3080826,come
152,3091851,gli
153,3099789,altri
154,3125808,
155,3137274,sar√†
156,3157119,
157,3160206,tutto
158,3174759,nero
159,3190635,come
160,3204747,la
161,3211362,pece
162,3233853,
163,3298239,Per√≤
164,3323817,
165,3337929,seppur
166,3365271,controvoglia
167,3414222,
168,3423042,lo
169,3431421,covava
170,3462291,
171,3481254,perch√©
172,3494484,era
173,3502422,un
174,3509919,uovo
175,3521826,suo
176,3541230,
177,3597237,Venne
178,3614877,il
179,3625020,giorno
180,3644424,della
181,3654567,schiusa
182,3685878,
183,3726891,le
184,3732624,uova
185,3746295,si
186,3755556,agitavano
187,3779811,sulla
188,3794805,paglia
189,3830918,come
190,3848607,gigantesche
191,3886092,gocce
192,3909465,di
193,3913703,latte
194,3939012,
195,3980466,si
196,3991050,videro
197,4008690,beccucci
198,4040442,becchettare
199,4081896,
200,4099095,e
201,4100859,i
202,4106592,gusci
203,4123350,bianchi
204,4145841,si
205,4151574,ruppero
206,4171419,in
207,4175388,un
208,4183326,punto
209,4208463,
210,4237128,poi
211,4252122,fecero
212,4271526,crepa
213,4295340,
214,4305483,il
215,4311657,buco
216,4323123,si
217,4330179,allarg√≤
218,4361490,
219,4381776,e
220,4383981,da
221,4388391,ogni
222,4402062,uovo
223,4416174,usc√¨
224,4429845,un
225,4438224,pulcino
226,4481001,un
227,4489821,bel
228,4500405,batuffolo
229,4531275,giallo
230,4553766,
231,4590810,Ma
232,4596102,l‚Äô
233,4599630,uovo
234,4611537,nero
235,4628295,non
236,4631823,si
237,4638879,apriva
238,4660047,
239,4706352,Anche
240,4717377,lui
241,4726197,si
242,4735458,muoveva
243,4756626,di
244,4760154,qua
245,4771620,e
246,4775148,di
247,4783968,l√†
248,4791906,
249,4813515,ma
250,4818366,non
251,4825422,si
252,4832919,vedeva
253,4847031,nessun
254,4869963,becco
255,4893336,
256,4905243,nessun
257,4930821,buco
258,4947579,
259,5010201,La
260,5016375,chioccia
261,5037102,lo
262,5041953,guardava
263,5069295,preoccupata
264,5107662,
265,5133681,è
266,5139414,cooo
267,5174169,colpa
268,5196744,mia
269,5217030,
270,5224086,diceva
271,5251869,
272,5272155,è
273,5276124,perch√©
274,5288472,non
275,5294646,l‚Äô
276,5298174,ho
277,5304348,coo
278,5339129,covato
279,5361237,come
280,5372703,si
281,5384169,deve
282,5404014,
283,5414598,E
284,5421654,adesso
285,5449437,
286,5453406,non
287,5462226,ha
288,5469282,
289,5472810,forza
290,5492214,di
291,5497947,aprirsi
292,5530140,
293,5585706,Mentre
294,5607187,i
295,5614371,pulcini
