token_id,sentence_ids,tokens_no_punct,lemma_no_punct,PoS,depparse,head,constituency,AoA(m+sd),Zipf_freq
1,0,il,il,DET,det,re,(ROOT (f3 (sn (DET Il) (NOUN re) (sn (PROPN Mida))) (PUNCT .))),,7.039560886
2,0,re,re,NOUN,root,ROOT,(ROOT (f3 (sn (DET Il) (NOUN re) (sn (PROPN Mida))) (PUNCT .))),4.24 ± 1.76,5.011715611
3,0,mida,Mida,PROPN,nmod,re,(ROOT (f3 (sn (DET Il) (NOUN re) (sn (PROPN Mida))) (PUNCT .))),,
4,1,il,il,DET,det,re,"(ROOT (fc (f (sn (DET Il) (NOUN re) (sn (PROPN Mida))) (ibar (AUX era)) (compc (sn (DET un) (sa (ADJ grande)) (NOUN spendaccione)))) (PUNCT ,) (f (sn (sq (DET tutte)) (DET le) (NOUN sere)) (ibar (VERB dava)) (compt (sn (coord (NOUN feste) (CCONJ e) (NOUN balli))))) (PUNCT ,) (fs (SCONJ finché) (f (ibar (PRON si) (VERB trovò)) (compin (sp (ADP senza) (sn (DET un) (NOUN centesimo)))))) (PUNCT .)))",,7.039560886
5,1,re,re,NOUN,nsubj,spendaccione,"(ROOT (fc (f (sn (DET Il) (NOUN re) (sn (PROPN Mida))) (ibar (AUX era)) (compc (sn (DET un) (sa (ADJ grande)) (NOUN spendaccione)))) (PUNCT ,) (f (sn (sq (DET tutte)) (DET le) (NOUN sere)) (ibar (VERB dava)) (compt (sn (coord (NOUN feste) (CCONJ e) (NOUN balli))))) (PUNCT ,) (fs (SCONJ finché) (f (ibar (PRON si) (VERB trovò)) (compin (sp (ADP senza) (sn (DET un) (NOUN centesimo)))))) (PUNCT .)))",4.24 ± 1.76,5.011715611
6,1,mida,Mida,PROPN,nmod,re,"(ROOT (fc (f (sn (DET Il) (NOUN re) (sn (PROPN Mida))) (ibar (AUX era)) (compc (sn (DET un) (sa (ADJ grande)) (NOUN spendaccione)))) (PUNCT ,) (f (sn (sq (DET tutte)) (DET le) (NOUN sere)) (ibar (VERB dava)) (compt (sn (coord (NOUN feste) (CCONJ e) (NOUN balli))))) (PUNCT ,) (fs (SCONJ finché) (f (ibar (PRON si) (VERB trovò)) (compin (sp (ADP senza) (sn (DET un) (NOUN centesimo)))))) (PUNCT .)))",,
7,1,era,essere,AUX,cop,spendaccione,"(ROOT (fc (f (sn (DET Il) (NOUN re) (sn (PROPN Mida))) (ibar (AUX era)) (compc (sn (DET un) (sa (ADJ grande)) (NOUN spendaccione)))) (PUNCT ,) (f (sn (sq (DET tutte)) (DET le) (NOUN sere)) (ibar (VERB dava)) (compt (sn (coord (NOUN feste) (CCONJ e) (NOUN balli))))) (PUNCT ,) (fs (SCONJ finché) (f (ibar (PRON si) (VERB trovò)) (compin (sp (ADP senza) (sn (DET un) (NOUN centesimo)))))) (PUNCT .)))",,6.283626334
8,1,un,uno,DET,det,spendaccione,"(ROOT (fc (f (sn (DET Il) (NOUN re) (sn (PROPN Mida))) (ibar (AUX era)) (compc (sn (DET un) (sa (ADJ grande)) (NOUN spendaccione)))) (PUNCT ,) (f (sn (sq (DET tutte)) (DET le) (NOUN sere)) (ibar (VERB dava)) (compt (sn (coord (NOUN feste) (CCONJ e) (NOUN balli))))) (PUNCT ,) (fs (SCONJ finché) (f (ibar (PRON si) (VERB trovò)) (compin (sp (ADP senza) (sn (DET un) (NOUN centesimo)))))) (PUNCT .)))",,7.065833912
9,1,grande,grande,ADJ,amod,spendaccione,"(ROOT (fc (f (sn (DET Il) (NOUN re) (sn (PROPN Mida))) (ibar (AUX era)) (compc (sn (DET un) (sa (ADJ grande)) (NOUN spendaccione)))) (PUNCT ,) (f (sn (sq (DET tutte)) (DET le) (NOUN sere)) (ibar (VERB dava)) (compt (sn (coord (NOUN feste) (CCONJ e) (NOUN balli))))) (PUNCT ,) (fs (SCONJ finché) (f (ibar (PRON si) (VERB trovò)) (compin (sp (ADP senza) (sn (DET un) (NOUN centesimo)))))) (PUNCT .)))",4.64 ± 2.04,5.615282093
10,1,spendaccione,spendaccione,NOUN,root,ROOT,"(ROOT (fc (f (sn (DET Il) (NOUN re) (sn (PROPN Mida))) (ibar (AUX era)) (compc (sn (DET un) (sa (ADJ grande)) (NOUN spendaccione)))) (PUNCT ,) (f (sn (sq (DET tutte)) (DET le) (NOUN sere)) (ibar (VERB dava)) (compt (sn (coord (NOUN feste) (CCONJ e) (NOUN balli))))) (PUNCT ,) (fs (SCONJ finché) (f (ibar (PRON si) (VERB trovò)) (compin (sp (ADP senza) (sn (DET un) (NOUN centesimo)))))) (PUNCT .)))",,2.552651066
