sentence_ids,tokens_no_punct,lemma_no_punct,PoS,depparse,head,constituency,AoA(m+sd),Zipf_freq
0,arrabbiato,arrabbiare,VERB,root,ROOT,,,4.630808311
0,come,come,ADP,case,orso,,,6.562704781
0,un,uno,DET,det,orso,,,7.065833912
0,orso,orso,NOUN,obl,Arrabbiato,,4.48 ± 1.53,4.192007611
0,,,PUNCT,punct,Arrabbiato,,,
1,flora,flora,NOUN,nsubj,torna,,,
1,torna,tornare,VERB,root,ROOT,,,5.037322203
1,da,da,ADP,case,mercato,,,6.577812618
1,il,il,DET,det,mercato,,,7.039560886
1,mercato,mercato,NOUN,obl,torna,,6.12 ± 2.33,4.517054187
1,,,PUNCT,punct,trascina,,,
1,trascina,trascinare,VERB,conj,torna,,,3.321256999
1,le,il,DET,det,zampe,,,6.624997683
1,zampe,zampa,NOUN,obj,trascina,,4.44 ± 1.50,3.854152865
1,e,e,CCONJ,cc,ha,,,2.741151583
1,ha,avere,VERB,conj,torna,,,6.684018637
1,il,il,DET,det,naso,,,7.039560886
1,naso,naso,NOUN,obj,ha,,3.24 ± 1.69,4.637615696
1,a,a,ADP,case,ingiù,,,7.004335738
1,l’,il,DET,det,ingiù,,,
1,ingiù,ingiù,NOUN,obl,ha,,,2.065984493
1,,,PUNCT,punct,torna,,,
2,è,essere,AUX,cop,imbronciata,,,7.249521761
2,imbronciata,imbronciare,VERB,root,ROOT,,,2.561991092
2,perché,perché,SCONJ,mark,comprato,,,5.965637226
2,la,il,DET,det,mamma,,,7.055331658
2,sua,suo,DET,det:poss,mamma,,,6.022524285
2,mamma,mamma,NOUN,nsubj,comprato,,1.88 ± 1.27,5.66327005
2,non,non,ADV,advmod,comprato,,,7.259198169
2,le,le,PRON,iobj,comprato,,,6.624997683
2,ha,avere,AUX,aux,comprato,,,6.684018637
2,comprato,comprare,VERB,ccomp,imbronciata,,5.32 ± 2.73,4.724504655
2,i,il,DET,det,lecca,,,6.584780852
2,lecca,leccare,NOUN,obj,comprato,,5.16 ± 3.29,3.50479045
2,lecca,leccio,ADJ,amod,lecca,,,3.50479045
2,a,a,ADP,case,miele,,,7.004335738
2,il,il,DET,det,miele,,,7.039560886
2,miele,miele,NOUN,obl,comprato,,4.32 ± 1.22,4.20481329
2,che,che,PRON,nsubj,desiderava,,,7.250456545
2,desiderava,desiderare,VERB,acl:relcl,miele,,,3.418809935
2,tanto,tanto,ADV,advmod,desiderava,,,5.656885745
2,,,PUNCT,punct,imbronciata,,,
3,ora,ora,ADV,advmod,brontola,,,6.195882677
3,brontola,brontolare,VERB,root,ROOT,,,2.491953226
3,in,in,ADP,case,giardino,,,6.797274494
3,giardino,giardino,NOUN,obl,brontola,,4.28 ± 1.37,4.462997018
3,,,PUNCT,punct,brontola,,,
4,tutt’,tutto,PRON,nsubj,spunta,,,
4,a,a,ADP,case,tratto,,,7.004335738
4,un,uno,DET,det,tratto,,,7.065833912
4,tratto,tratto,NOUN,obl,spunta,,,4.201223187
4,spunta,spuntare,VERB,root,ROOT,,,3.421372151
4,adele,Adele,PROPN,nsubj,spunta,,,1.19092323
4,,,PUNCT,punct,Adele,,,
4,la,il,DET,det,ape,,,7.055331658
4,piccola,piccolo,ADJ,amod,ape,,4.12 ± 3.18,5.234049628
4,ape,ape,NOUN,appos,Adele,,4.32 ± 1.28,3.537276204
4,,,PUNCT,punct,invita,,,
4,e,e,CCONJ,cc,invita,,,2.741151583
4,invita,invitare,VERB,conj,spunta,,,3.506893575
4,l’,il,DET,det,orsetta,,,
4,orsetta,orsetta,NOUN,obj,invita,,,2.433961279
4,a,a,ADP,mark,giocare,,,7.004335738
4,giocare,giocare,VERB,xcomp,invita,,2.96 ± 1.24,4.973825636
4,,,PUNCT,punct,spunta,,,
5,danza,danza,NOUN,root,ROOT,,,4.139091592
5,e,e,CCONJ,cc,ronza,,,2.741151583
5,ronza,ronza,NOUN,conj,Danza,,,2.759124954
5,vicino,vicino,ADV,case,orecchio,,,5.221138271
5,a,a,ADP,fixed,vicino,,,7.004335738
5,l’,il,DET,det,orecchio,,,
