TOKEN,BEGIN,ORT
0,0,
1,89523,Il
2,99666,paese
3,120834,dei
4,128331,cani
5,150381,
6,242991,C'era
7,257985,una
8,267246,volta
9,310464,uno
10,321489,strano
11,343539,piccolo
12,366471,paese
13,394695,
14,425565,Era
15,434826,composto
16,459963,in
17,467019,tutto
18,480690,di
19,486423,novantanove
20,517293,casette
21,550809,
22,567567,e
23,572418,ogni
24,582561,casetta
25,594468,aveva
26,614313,un
27,622251,giardinetto
28,651357,con
29,656649,un
30,665028,cancelletto
31,709569,
32,725004,e
33,730737,dietro
34,749259,il
35,753228,cancelletto
36,792477,
37,798210,un
38,807912,cane
39,817614,che
40,822906,abbaiava
41,851571,
42,856422,Facciamo
43,909783,un
44,911547,esempio
45,936684,
46,979020,Fido
47,990927,era
48,998865,il
49,1001952,
50,1004157,cane
51,1027971,
52,1031499,della
53,1043847,casetta
54,1069425,numero
55,1083537,uno
56,1105146,
57,1110879,e
58,1115730,ne
59,1121904,proteggeva
60,1148364,gelosamente
61,1177470,gli
62,1180998,abitanti
63,1213191,
64,1240533,e
65,1251117,per
66,1256409,farlo
67,1270521,dovere
68,1290366,abbaiava
69,1321677,con
70,1328733,impegno
71,1357839,
72,1361808,ogni
73,1370628,volta
74,1386504,che
75,1390914,vedeva
76,1405467,passare
77,1429281,qualcuno
78,1456182,degli
79,1466766,abitanti
80,1501164,
81,1510866,delle
82,1523214,altre
83,1541736,novantotto
84,1577898,casette
85,1614501,
86,1629936,uomo
87,1650222,donna
88,1671390,o
89,1678005,bambino
90,1703142,
91,1741068,Lo
92,1748124,stesso
93,1766205,facevano
94,1788255,gli
95,1792224,altri
96,1808541,novantotto
97,1838529,cani
98,1858815,
99,1879542,e
100,1884834,avevano
101,1901592,un
102,1906884,gran
103,1916145,da
104,1921878,
105,1925406,fare
106,1943487,ad
107,1948338,abbaiare
108,1972152,di
109,1979649,giorno
110,1996848,e
111,1999053,di
112,2005227,notte
113,2029041,
114,2041389,perché
115,2054178,c'era
116,2065203,sempre
117,2082843,qualcuno
118,2105775,per
119,2111508,la
120,2117682,strada
121,2141937,
122,2179863,A
123,2193093,forza
124,2211174,di
125,2218671,sentir
126,2234106,abbaiare
127,2263653,i
128,2267622,cani
129,2285703,gli
130,2293200,
131,2302020,abitanti
132,2325393,di
133,2329362,quel
134,2341269,paese
135,2363319,erano
136,2384046,diventati
137,2410065,tutti
138,2423295,un
139,2429910,po
140,2435643,sordi
141,2466954,
142,2482830,e
143,2491650,tra
144,2495619,loro
145,2508849,parlavano
146,2529576,pochissimo
147,2566620,
148,2601018,Del
149,2608074,resto
150,2623950,non
151,2625273,avevano
152,2659671,mai
153,2670696,avuto
154,2687454,grandi
155,2700684,cose
156,2717883,da
157,2724498,dire
158,2743902,e
159,2745225,da
160,2746548,ascoltare
161,2788443,
162,2826810,Pian
163,2842245,piano
164,2863413,
165,2867823,a
166,2873556,starsene
167,2900898,sempre
168,2924712,zitti
169,2948526,e
170,2949849,immusoniti
171,2983806,
172,2997918,disimpararono
173,3032316,anche
