TOKEN,BEGIN,ORT
0,89082,La
1,97020,passeggiata
2,131859,di
3,137592,un
4,141561,distratto
5,233289,Mamma
6,268128,vado
7,282681,fare
8,294147,una
9,299439,passeggiata
10,370881,Va
11,377937,pure
12,394695,Giovanni
13,416745,ma
14,420714,sta
15,442764,attento
16,473193,quando
17,485982,attraversi
18,512442,la
19,516411,strada
20,581238,Va
21,589176,bene
22,602847,mamma
23,639450,Ciao
24,650475,mamma
25,700308,Sei
26,715302,sempre
27,732060,tanto
28,749259,distratto
29,814086,Sì
30,833931,mamma
31,874503,Ciao
32,887292,mamma
33,947268,Giovannino
34,972846,esce
35,983871,allegramente
36,1036350,e
37,1041642,per
38,1046493,il
39,1056636,primo
40,1068543,tratto
41,1084419,di
42,1092798,strada
43,1113304,fa
44,1120140,bene
45,1132488,attenzione
46,1178352,Ogni
47,1188054,tanto
48,1202607,si
49,1213632,ferma
50,1229949,e
51,1232595,si
52,1243179,tocca
53,1293012,Ci
54,1301391,sono
55,1311093,tutto
56,1348578,Sì
57,1385181,e
58,1393119,ride
59,1405026,da
60,1410759,solo
61,1482201,È
62,1487493,così
63,1501164,contento
64,1530711,di
65,1536885,stare
66,1548792,attento
67,1599507,che
68,1604799,si
69,1614060,mette
70,1628172,a
71,1631700,saltellare
72,1665216,come
73,1677123,un
74,1680210,passero
75,1734453,ma
76,1744596,poi
77,1752534,s'incanta
78,1790460,guardare
79,1816038,le
80,1822212,vetrine
81,1868958,le
82,1875573,macchine
83,1917909,le
84,1925406,nuvole
85,1949220,e
86,1970829,per
87,1988469,forza
88,2003463,cominciano
89,2026836,i
90,2028600,guai
91,2104011,Un
92,2112831,signore
93,2152962,molto
94,2171925,gentilmente
95,2228814,lo
96,2233224,rimprovera
97,2293641,Ma
98,2298492,che
99,2307312,distratto
100,2338182,sei
101,2375226,Vedi
102,2407419,Hai
103,2418003,già
104,2425500,perso
105,2444022,una
106,2448873,mano
107,2513700,Uh
108,2522961,è
109,2528694,proprio
110,2546334,True
111,2582937,Ma
112,2589552,che
113,2594844,distratto
114,2627037,sono
115,2693628,Si
116,2709063,mette
117,2728467,cercare
118,2749635,la
119,2754486,mano
120,2794176,e
121,2796381,invece
122,2824605,trova
123,2841804,un
124,2843127,barattolo
125,2869587,vuoto
126,2894283,Sarà
127,2943234,proprio
128,2960874,vuoto
129,3001887,Vediamo
