TOKEN,BEGIN,ORT
0,89082,Una
1,102753,viola
2,124362,al
3,133182,polo
4,149058,Nord
5,246078,Una
6,258426,mattina
7,298116,al
8,308259,Polo
9,320607,Nord
10,354123,l
11,358533,orso
12,371322,bianco
13,392710,fiutò
14,407043,nell'aria
15,432621,un
16,439677,odore
17,452466,insolito
18,501417,e
19,502740,lo
20,511560,fece
21,523467,notare
22,542430,all’Orsa
23,563598,Maggiore
24,616959,la
25,624456,minore
26,639450,era
27,650034,sua
28,661059,figlia
29,723680,Che
30,725802,sia
31,735588,arrivata
32,752346,qualche
33,764253,spedizione
34,859950,Furono
35,871416,invece
36,886410,gli
37,889938,orsacchiotti
38,944622,a
39,948150,trovare
40,965349,la
41,971964,viola
42,1052226,Era
43,1061928,una
44,1069866,piccola
45,1090593,violetta
46,1112643,mammola
47,1154097,e
48,1156743,tremava
49,1177029,di
50,1184526,freddo
51,1227303,ma
52,1234800,continuava
53,1263465,coraggiosamente
54,1304478,a
55,1309329,profumare
56,1337112,l
57,1339317,aria
58,1372392,perché
59,1386063,quello
60,1411200,era
61,1423107,il
62,1431486,suo
63,1440747,dovere
64,1541295,Prima
65,1555407,di
66,1562904,sera
67,1593333,si
68,1604799,sparse
69,1625526,per
70,1632141,tutto
71,1644930,il
72,1652868,Polo
73,1663893,la
74,1669626,notizia
75,1726074,un
76,1736217,piccolo
77,1761795,strano
78,1787664,essere
79,1808982,profumato
80,1850877,di
81,1855728,colore
82,1881747,violetto
83,1931580,era
84,1938636,apparso
85,1964214,nel
86,1972152,deserto
87,1998171,di
88,2004345,ghiaccio
89,2050085,si
90,2057265,reggeva
91,2075346,su
92,2083284,una
93,2089017,sola
94,2106657,zampa
95,2141055,e
96,2142378,non
97,2152080,si
98,2158695,muoveva
99,2254392,A
100,2258361,vedere
101,2270268,la
102,2277765,viola
103,2309076,vennero
104,2335095,foche
105,2363319,e
106,2365965,trichechi
107,2421090,vennero
108,2442258,dalla
109,2453283,Siberia
110,2477097,le
111,2484130,renne
112,2520756,dall'America
113,2556036,i
114,2560005,buoi
115,2571912,muschiati
116,2631447,e
117,2639826,più
118,2646882,di
119,2653497,lontano
120,2676429,ancora
121,2708181,volpi
122,2731554,bianche
123,2783592,lupi
124,2815785,e
125,2817990,gazze
126,2838276,marine
127,2904867,Tutti
128,2916774,ammiravano
129,2941911,il
130,2948085,fiore
131,2956905,sconosciuto
132,3016881,il
133,3025701,suo
134,3031875,stelo
135,3051279,tremante
136,3130218,tutti
137,3143007,aspiravano
138,3180051,il
139,3188430,suo
140,3196368,profumo
141,3266487,ma
142,3273543,ne
143,3277512,restava
144,3297798,sempre
145,3319848,abbastanza
146,3356892,per
147,3363066,quelli
148,3378501,che
149,3385557,arrivavano
150,3412912,ultimi
151,3433185,ad
152,3438036,annusare
153,3489633,ne
154,3496248,restava
155,3519180,sempre
156,3542994,come
157,3557547,prima
158,3641778,Per
159,3647511,mandare
160,3664269,tanto
161,3678822,profumo
162,3719835,disse
163,3738798,una
164,3751146,foca
165,3800979,deve
166,3811122,avere
167,3824352,una
168,3831849,riserva
169,3855663,sotto
170,3871980,il
171,3879918,ghiaccio
172,3940776,Io
173,3947391,l
174,3949596,avevo
175,3964149,detto
176,3978261,subito
177,4018392,esclamò
178,4042647,l
179,4046175,orso
180,4060728,bianco
181,4097331,che
182,4106151,c'era
183,4116294,sotto
184,4131288,qualcosa
