token_id,sentence_ids,tokens_no_punct,lemma_no_punct,PoS,depparse,head,constituency,AoA(m+sd),Zipf_freq
1,0,la,il,DET,det,camicia,(ROOT (f3 (sn (DET La) (NOUN camicia) (spd (ADP di) (sn (DET l') (NOUN uomo))) (sa (ADJ contento) (PUNCT .))))),,7.055331658
2,0,camicia,camicia,NOUN,root,ROOT,(ROOT (f3 (sn (DET La) (NOUN camicia) (spd (ADP di) (sn (DET l') (NOUN uomo))) (sa (ADJ contento) (PUNCT .))))),5.04 ± 1.65,4.393139006
3,0,di,di,ADP,case,uomo,(ROOT (f3 (sn (DET La) (NOUN camicia) (spd (ADP di) (sn (DET l') (NOUN uomo))) (sa (ADJ contento) (PUNCT .))))),,7.232814475
4,0,l,il,DET,det,uomo,(ROOT (f3 (sn (DET La) (NOUN camicia) (spd (ADP di) (sn (DET l') (NOUN uomo))) (sa (ADJ contento) (PUNCT .))))),,6.640107629
5,0,uomo,uomo,NOUN,nmod,camicia,(ROOT (f3 (sn (DET La) (NOUN camicia) (spd (ADP di) (sn (DET l') (NOUN uomo))) (sa (ADJ contento) (PUNCT .))))),4.12 ± 2.13,5.816544311
6,0,contento,contento,ADJ,amod,uomo,(ROOT (f3 (sn (DET La) (NOUN camicia) (spd (ADP di) (sn (DET l') (NOUN uomo))) (sa (ADJ contento) (PUNCT .))))),4.12 ± 3.55,4.744138531
7,1,un,uno,DET,det,Re,(ROOT (fc (f (sn (DET Un) (NOUN Re)) (ibar (VERB aveva)) (compc (sn (DET un) (NOUN figlio) (sa (ADJ unico))))) (CCONJ e) (f (ibar (PRON gli) (VERB voleva)) (compt (savv (ADV bene)) (fc (ADV come) (sp (ADP a) (sn (DET la) (NOUN luce) (spd (ADP di) (sn (DET i) (sa (DET suoi)) (NOUN occhi) (PUNCT .)))))))))),,7.065833912
8,1,re,re,NOUN,nsubj,aveva,(ROOT (fc (f (sn (DET Un) (NOUN Re)) (ibar (VERB aveva)) (compc (sn (DET un) (NOUN figlio) (sa (ADJ unico))))) (CCONJ e) (f (ibar (PRON gli) (VERB voleva)) (compt (savv (ADV bene)) (fc (ADV come) (sp (ADP a) (sn (DET la) (NOUN luce) (spd (ADP di) (sn (DET i) (sa (DET suoi)) (NOUN occhi) (PUNCT .)))))))))),4.24 ± 1.76,5.011715611
9,1,aveva,avere,VERB,root,ROOT,(ROOT (fc (f (sn (DET Un) (NOUN Re)) (ibar (VERB aveva)) (compc (sn (DET un) (NOUN figlio) (sa (ADJ unico))))) (CCONJ e) (f (ibar (PRON gli) (VERB voleva)) (compt (savv (ADV bene)) (fc (ADV come) (sp (ADP a) (sn (DET la) (NOUN luce) (spd (ADP di) (sn (DET i) (sa (DET suoi)) (NOUN occhi) (PUNCT .)))))))))),,5.632280537
10,1,un,uno,DET,det,figlio,(ROOT (fc (f (sn (DET Un) (NOUN Re)) (ibar (VERB aveva)) (compc (sn (DET un) (NOUN figlio) (sa (ADJ unico))))) (CCONJ e) (f (ibar (PRON gli) (VERB voleva)) (compt (savv (ADV bene)) (fc (ADV come) (sp (ADP a) (sn (DET la) (NOUN luce) (spd (ADP di) (sn (DET i) (sa (DET suoi)) (NOUN occhi) (PUNCT .)))))))))),,7.065833912
11,1,figlio,figlio,NOUN,obj,aveva,(ROOT (fc (f (sn (DET Un) (NOUN Re)) (ibar (VERB aveva)) (compc (sn (DET un) (NOUN figlio) (sa (ADJ unico))))) (CCONJ e) (f (ibar (PRON gli) (VERB voleva)) (compt (savv (ADV bene)) (fc (ADV come) (sp (ADP a) (sn (DET la) (NOUN luce) (spd (ADP di) (sn (DET i) (sa (DET suoi)) (NOUN occhi) (PUNCT .)))))))))),3.92 ± 2.36,5.577484615
12,1,unico,unico,ADJ,amod,figlio,(ROOT (fc (f (sn (DET Un) (NOUN Re)) (ibar (VERB aveva)) (compc (sn (DET un) (NOUN figlio) (sa (ADJ unico))))) (CCONJ e) (f (ibar (PRON gli) (VERB voleva)) (compt (savv (ADV bene)) (fc (ADV come) (sp (ADP a) (sn (DET la) (NOUN luce) (spd (ADP di) (sn (DET i) (sa (DET suoi)) (NOUN occhi) (PUNCT .)))))))))),,5.132111555
13,1,e,e,CCONJ,cc,voleva,(ROOT (fc (f (sn (DET Un) (NOUN Re)) (ibar (VERB aveva)) (compc (sn (DET un) (NOUN figlio) (sa (ADJ unico))))) (CCONJ e) (f (ibar (PRON gli) (VERB voleva)) (compt (savv (ADV bene)) (fc (ADV come) (sp (ADP a) (sn (DET la) (NOUN luce) (spd (ADP di) (sn (DET i) (sa (DET suoi)) (NOUN occhi) (PUNCT .)))))))))),,2.741151583
14,1,gli,gli,PRON,iobj,voleva,(ROOT (fc (f (sn (DET Un) (NOUN Re)) (ibar (VERB aveva)) (compc (sn (DET un) (NOUN figlio) (sa (ADJ unico))))) (CCONJ e) (f (ibar (PRON gli) (VERB voleva)) (compt (savv (ADV bene)) (fc (ADV come) (sp (ADP a) (sn (DET la) (NOUN luce) (spd (ADP di) (sn (DET i) (sa (DET suoi)) (NOUN occhi) (PUNCT .)))))))))),,6.227520191
15,1,voleva,volere,VERB,conj,aveva,(ROOT (fc (f (sn (DET Un) (NOUN Re)) (ibar (VERB aveva)) (compc (sn (DET un) (NOUN figlio) (sa (ADJ unico))))) (CCONJ e) (f (ibar (PRON gli) (VERB voleva)) (compt (savv (ADV bene)) (fc (ADV come) (sp (ADP a) (sn (DET la) (NOUN luce) (spd (ADP di) (sn (DET i) (sa (DET suoi)) (NOUN occhi) (PUNCT .)))))))))),,5.203085298
16,1,bene,bene,ADV,advmod,voleva,(ROOT (fc (f (sn (DET Un) (NOUN Re)) (ibar (VERB aveva)) (compc (sn (DET un) (NOUN figlio) (sa (ADJ unico))))) (CCONJ e) (f (ibar (PRON gli) (VERB voleva)) (compt (savv (ADV bene)) (fc (ADV come) (sp (ADP a) (sn (DET la) (NOUN luce) (spd (ADP di) (sn (DET i) (sa (DET suoi)) (NOUN occhi) (PUNCT .)))))))))),,6.454992194
17,1,come,come,ADV,case,luce,(ROOT (fc (f (sn (DET Un) (NOUN Re)) (ibar (VERB aveva)) (compc (sn (DET un) (NOUN figlio) (sa (ADJ unico))))) (CCONJ e) (f (ibar (PRON gli) (VERB voleva)) (compt (savv (ADV bene)) (fc (ADV come) (sp (ADP a) (sn (DET la) (NOUN luce) (spd (ADP di) (sn (DET i) (sa (DET suoi)) (NOUN occhi) (PUNCT .)))))))))),,6.562704781
18,1,a,a,ADP,fixed,come,(ROOT (fc (f (sn (DET Un) (NOUN Re)) (ibar (VERB aveva)) (compc (sn (DET un) (NOUN figlio) (sa (ADJ unico))))) (CCONJ e) (f (ibar (PRON gli) (VERB voleva)) (compt (savv (ADV bene)) (fc (ADV come) (sp (ADP a) (sn (DET la) (NOUN luce) (spd (ADP di) (sn (DET i) (sa (DET suoi)) (NOUN occhi) (PUNCT .)))))))))),,7.004335738
19,1,la,il,DET,det,luce,(ROOT (fc (f (sn (DET Un) (NOUN Re)) (ibar (VERB aveva)) (compc (sn (DET un) (NOUN figlio) (sa (ADJ unico))))) (CCONJ e) (f (ibar (PRON gli) (VERB voleva)) (compt (savv (ADV bene)) (fc (ADV come) (sp (ADP a) (sn (DET la) (NOUN luce) (spd (ADP di) (sn (DET i) (sa (DET suoi)) (NOUN occhi) (PUNCT .)))))))))),,7.055331658
20,1,luce,luce,NOUN,obl,voleva,(ROOT (fc (f (sn (DET Un) (NOUN Re)) (ibar (VERB aveva)) (compc (sn (DET un) (NOUN figlio) (sa (ADJ unico))))) (CCONJ e) (f (ibar (PRON gli) (VERB voleva)) (compt (savv (ADV bene)) (fc (ADV come) (sp (ADP a) (sn (DET la) (NOUN luce) (spd (ADP di) (sn (DET i) (sa (DET suoi)) (NOUN occhi) (PUNCT .)))))))))),4.00 ± 2.42,5.005037586
21,1,di,di,ADP,case,occhi,(ROOT (fc (f (sn (DET Un) (NOUN Re)) (ibar (VERB aveva)) (compc (sn (DET un) (NOUN figlio) (sa (ADJ unico))))) (CCONJ e) (f (ibar (PRON gli) (VERB voleva)) (compt (savv (ADV bene)) (fc (ADV come) (sp (ADP a) (sn (DET la) (NOUN luce) (spd (ADP di) (sn (DET i) (sa (DET suoi)) (NOUN occhi) (PUNCT .)))))))))),,7.232814475
22,1,i,il,DET,det,occhi,(ROOT (fc (f (sn (DET Un) (NOUN Re)) (ibar (VERB aveva)) (compc (sn (DET un) (NOUN figlio) (sa (ADJ unico))))) (CCONJ e) (f (ibar (PRON gli) (VERB voleva)) (compt (savv (ADV bene)) (fc (ADV come) (sp (ADP a) (sn (DET la) (NOUN luce) (spd (ADP di) (sn (DET i) (sa (DET suoi)) (NOUN occhi) (PUNCT .)))))))))),,6.584780852
23,1,suoi,suo,DET,det:poss,occhi,(ROOT (fc (f (sn (DET Un) (NOUN Re)) (ibar (VERB aveva)) (compc (sn (DET un) (NOUN figlio) (sa (ADJ unico))))) (CCONJ e) (f (ibar (PRON gli) (VERB voleva)) (compt (savv (ADV bene)) (fc (ADV come) (sp (ADP a) (sn (DET la) (NOUN luce) (spd (ADP di) (sn (DET i) (sa (DET suoi)) (NOUN occhi) (PUNCT .)))))))))),,5.498344383
24,1,occhi,occhio,NOUN,nmod,luce,(ROOT (fc (f (sn (DET Un) (NOUN Re)) (ibar (VERB aveva)) (compc (sn (DET un) (NOUN figlio) (sa (ADJ unico))))) (CCONJ e) (f (ibar (PRON gli) (VERB voleva)) (compt (savv (ADV bene)) (fc (ADV come) (sp (ADP a) (sn (DET la) (NOUN luce) (spd (ADP di) (sn (DET i) (sa (DET suoi)) (NOUN occhi) (PUNCT .)))))))))),3.64 ± 1.63,5.297539031
25,2,ma,ma,CCONJ,cc,scontento,(ROOT (fc (CCONJ Ma) (f (sn (sa (DET questo)) (PROPN Principe)) (ibar (AUX era)) (compc (sa (savv (ADV sempre)) (ADJ scontento)))) (PUNCT .))),,6.662005813
26,2,questo,questo,DET,det,Principe,(ROOT (fc (CCONJ Ma) (f (sn (sa (DET questo)) (PROPN Principe)) (ibar (AUX era)) (compc (sa (savv (ADV sempre)) (ADJ scontento)))) (PUNCT .))),,6.484206212
27,2,principe,Principe,PROPN,nsubj,scontento,(ROOT (fc (CCONJ Ma) (f (sn (sa (DET questo)) (PROPN Principe)) (ibar (AUX era)) (compc (sa (savv (ADV sempre)) (ADJ scontento)))) (PUNCT .))),,4.541849304
