TOKEN,BEGIN,ORT
0,0,
1,92610,I
2,99666,tre
3,112014,affamati
4,147294,
5,211239,C’erano
6,233730,tre
7,246519,affamati
8,278271,
9,298116,uno
10,313110,col
11,322371,cappello
12,344421,rosso
13,368235,
14,379701,uno
15,395136,col
16,403074,cappello
17,427770,giallo
18,457894,e
19,461286,uno
20,478926,
21,484659,col
22,495243,cappello
23,518175,azzurro
24,599319,Videro
25,620487,una
26,632835,bella
27,647388,mela
28,656649,matura
29,681345,
30,688842,che
31,697221,pendeva
32,720153,dal
33,727650,ramo
34,744408,di
35,748377,un
36,752787,melo
37,769986,
38,801380,Che
39,810117,bella
40,822906,mela
41,841428,
42,855981,disse
43,874503,cappello
44,896112,Rosso
45,920367,
46,945945,Dividiamola
47,972846,in
48,978138,tre
49,986076,parti
50,998865,uguali
51,1012977,e
52,1014300,mangiamocela
53,1052226,
54,1066779,disse
55,1087506,Cappello
56,1112643,Giallo
57,1134252,
58,1158507,Giusto
59,1183203,
60,1205253,disse
61,1224657,Cappello
62,1244061,Azzurro
63,1269639,
64,1303596,Ma
65,1309329,come
66,1320354,
67,1323000,faremo
68,1345050,
69,1368423,disse
70,1383417,Cappello
71,1405467,Giallo
72,1422666,sedendo
73,1446039,sotto
74,1459269,il
75,1466766,ramo
76,1484406,
77,1507779,Coltelli
78,1529829,non
79,1533357,ne
80,1541295,abbiamo
81,1564227,
82,1598184,Già
83,1615383,
84,1632582,disse
85,1651545,Cappello
86,1672272,Rosso
87,1696968,
88,1709316,sedendosi
89,1740627,accanto
90,1760485,a
91,1762677,lui
92,1782522,
93,1835001,E
94,1836765,spezzarla
95,1861902,con
96,1865871,le
97,1871604,mani
98,1884393,non
99,1888803,possiamo
100,1923201,
101,1937754,perché
102,1949661,le
103,1954512,parti
104,1976562,verrebbero
105,1997289,di
106,2001258,grandezza
107,2025954,diversa
108,2054619,e
109,2061234,allora
110,2077992,uno
111,2085930,mangerebbe
112,2112390,più
113,2119005,degli
114,2131794,altri
115,2155608,
116,2186478,Scusate
117,2216466,amici
118,2239839,
119,2252187,disse
120,2267181,Cappello
121,2290113,Azzurro
122,2314368,
123,2347443,Zitto
124,2370375,tu
125,2379636,
126,2395953,dissero
127,2414475,gli
128,2419767,altri
129,2434761,due
130,2450637,
131,2464749,Non
132,2469600,vedi
133,2483271,che
134,2486358,stiamo
135,2501352,ragionando
136,2535309,
137,2560446,E
138,2563092,ripresero
139,2586341,a
140,2588229,discutere
141,2624391,
142,2636298,grattandosi
143,2668491,la
144,2673783,testa
145,2694951,sotto
146,2708181,il
147,2713914,cappello
148,2742138,
149,2788884,E
150,2792853,poi
151,2801232,dovremo
152,2816226,stare
153,2831220,attenti
154,2852829,a
155,2855916,
156,2859444,fare
157,2869587,le
158,2875761,parti
159,2907072,
160,2922948,disse
161,2940147,Cappello
162,2961315,Rosso
163,2989539,
164,3003651,perché
165,3016440,potrebbe
166,3033198,capitare
167,3060540,che
168,3064950,a
169,3067596,uno
170,3080385,vada
171,3090087,la
172,3095379,parte
173,3108609,più
174,3116988,buona
175,3146976,e
176,3150945,a
177,3156678,un
178,3161970,altro
179,3177846,la
180,3182697,più
181,3189312,cattiva
182,3218859,
183,3253698,Scusate
184,3292506,
185,3311028,disse
186,3330873,Cappello
187,3352482,Azzurro
188,3382470,
189,3404961,Sta
190,3419514,zitto
191,3441123,
192,3457440,dissero
193,3476403,gli
194,3481695,altri
195,3496248,due
196,3509478,
197,3529323,senza
198,3546522,nemmeno
199,3560634,alzare
200,3582243,gli
201,3588858,occhi
202,3610467,
203,3635163,Non
204,3639573,vedi
205,3654567,che
206,3657654,stiamo
207,3627568,affrontando
208,3701313,la
209,3707928,questione
210,3738357,
211,3761730,E
212,3764376,tornarono
213,3790664,a
214,3796128,discutere
215,3829203,
216,3880359,Sai
217,3895353,cosa
218,3907701,rende
219,3923136,difficile
220,3948714,il
221,3953565,problema
222,3981348,
223,4005603,disse
224,4024566,Cappello
225,4045293,Rosso
226,4069548,
227,4093362,Il
228,4099756,fatto
229,4115853,di
230,4122128,dividere
231,4137903,la
232,4144077,mela
233,4153779,in
234,4161276,tre
235,4170537,
236,4173183,parti
237,4198320,
238,4226103,se
239,4234923,la
240,4239333,dividessimo
241,4269321,in
242,4274172,due
243,4287402,sarebbe
244,4308570,più
245,4313421,
246,4318713,facile
247,4345173,
248,4384863,Sicuro
249,4429845,
250,4435578,disse
251,4452777,il
252,4459392,Cappello
253,4485411,Giallo
254,4507452,abbassando
255,4535685,la
256,4542741,voce
257,4563909,
258,4600953,Bisogna
259,4618152,che
260,4623885,uno
261,4634469,di
262,4641525,noi
263,4648140,tre
264,4660047,ci
265,4670141,rinunci
266,4704588,
267,4736340,Scusate
268,4772502,
269,4786614,disse
270,4801608,Cappello
271,4820130,Azzurro
272,4850559,
273,4876578,Vuoi
274,4889808,star
275,4906566,zitto
276,4929498,
277,4951107,dissero
278,4974480,i
279,4978008,due
280,4986387,seduti
281,5016816,
282,5028282,senza
283,5046804,degnarlo
284,5071500,di
285,5074697,un
286,5078556,occhiata
287,5106780,
288,5146029,Ecco
289,5164551,
290,5185719,faremo
291,5205564,
292,5207769,proprio
293,5235552,così
294,5256279,
295,5270391,disse
296,5288472,Cappello
297,5312286,Giallo
298,5328695,a
299,5332131,voce
300,5343597,molto
301,5364765,bassa
302,5390343,
303,5430033,Divideremo
304,5458570,la
305,5464431,mela
306,5476779,in
307,5483835,due
308,5493096,parti
