token_id,sentence_ids,tokens_no_punct,lemma_no_punct,PoS,depparse,head,constituency,AoA(m+sd),Zipf_freq
1,0,il,il,DET,det,principe,(ROOT (f3 (sn (DET Il) (NOUN principe) (sn (coord (PROPN Tonno) (CCONJ e) (PROPN Abissina)))) (PUNCT .))),,7.039560886
2,0,principe,principe,NOUN,root,ROOT,(ROOT (f3 (sn (DET Il) (NOUN principe) (sn (coord (PROPN Tonno) (CCONJ e) (PROPN Abissina)))) (PUNCT .))),4.16 ± 1.43,4.541849304
3,0,tonno,Tonno,PROPN,nmod,principe,(ROOT (f3 (sn (DET Il) (NOUN principe) (sn (coord (PROPN Tonno) (CCONJ e) (PROPN Abissina)))) (PUNCT .))),,3.662214941
4,0,e,e,CCONJ,cc,Abissina,(ROOT (f3 (sn (DET Il) (NOUN principe) (sn (coord (PROPN Tonno) (CCONJ e) (PROPN Abissina)))) (PUNCT .))),,2.741151583
5,0,abissina,Abissina,PROPN,conj,Tonno,(ROOT (f3 (sn (DET Il) (NOUN principe) (sn (coord (PROPN Tonno) (CCONJ e) (PROPN Abissina)))) (PUNCT .))),,1.588863239
6,0,,,PUNCT,punct,principe,(ROOT (f3 (sn (DET Il) (NOUN principe) (sn (coord (PROPN Tonno) (CCONJ e) (PROPN Abissina)))) (PUNCT .))),,
7,1,il,il,DET,det,principe,"(ROOT (fc (f (sn (DET Il) (NOUN principe) (sn (PROPN Tonno))) (ibar (VERB nuotava)) (compin (sp (ADP in) (sn (DET il) (sa (ADJ verde)) (NOUN mare))) (fp (PUNCT ,) (sv5 (VERB muovendo) (compt (sn (DET la) (NOUN coda) (coord (spd (ADP di) (savv (ADV qua))) (CCONJ e) (spd (ADP di) (savv (ADV là))))))) (PUNCT ,)))) (CCONJ e) (f (sn (sq (DET tutte)) (DET le) (PROPN Triglie)) (ibar (PRON gli) (VERB facevano)) (compt (sn (DET l’) (NOUN occhietto)))) (PUNCT ,) (fc (CCONJ ma) (f (sn (PRON lui)) (ibar (ADV non) (PRON le) (VERB guardava)) (compin (savv (ADV neppure))))) (PUNCT .)))",,7.039560886
8,1,principe,principe,NOUN,nsubj,nuotava,"(ROOT (fc (f (sn (DET Il) (NOUN principe) (sn (PROPN Tonno))) (ibar (VERB nuotava)) (compin (sp (ADP in) (sn (DET il) (sa (ADJ verde)) (NOUN mare))) (fp (PUNCT ,) (sv5 (VERB muovendo) (compt (sn (DET la) (NOUN coda) (coord (spd (ADP di) (savv (ADV qua))) (CCONJ e) (spd (ADP di) (savv (ADV là))))))) (PUNCT ,)))) (CCONJ e) (f (sn (sq (DET tutte)) (DET le) (PROPN Triglie)) (ibar (PRON gli) (VERB facevano)) (compt (sn (DET l’) (NOUN occhietto)))) (PUNCT ,) (fc (CCONJ ma) (f (sn (PRON lui)) (ibar (ADV non) (PRON le) (VERB guardava)) (compin (savv (ADV neppure))))) (PUNCT .)))",4.16 ± 1.43,4.541849304
9,1,tonno,Tonno,PROPN,nmod,principe,"(ROOT (fc (f (sn (DET Il) (NOUN principe) (sn (PROPN Tonno))) (ibar (VERB nuotava)) (compin (sp (ADP in) (sn (DET il) (sa (ADJ verde)) (NOUN mare))) (fp (PUNCT ,) (sv5 (VERB muovendo) (compt (sn (DET la) (NOUN coda) (coord (spd (ADP di) (savv (ADV qua))) (CCONJ e) (spd (ADP di) (savv (ADV là))))))) (PUNCT ,)))) (CCONJ e) (f (sn (sq (DET tutte)) (DET le) (PROPN Triglie)) (ibar (PRON gli) (VERB facevano)) (compt (sn (DET l’) (NOUN occhietto)))) (PUNCT ,) (fc (CCONJ ma) (f (sn (PRON lui)) (ibar (ADV non) (PRON le) (VERB guardava)) (compin (savv (ADV neppure))))) (PUNCT .)))",,3.662214941
10,1,nuotava,nuotare,VERB,root,ROOT,"(ROOT (fc (f (sn (DET Il) (NOUN principe) (sn (PROPN Tonno))) (ibar (VERB nuotava)) (compin (sp (ADP in) (sn (DET il) (sa (ADJ verde)) (NOUN mare))) (fp (PUNCT ,) (sv5 (VERB muovendo) (compt (sn (DET la) (NOUN coda) (coord (spd (ADP di) (savv (ADV qua))) (CCONJ e) (spd (ADP di) (savv (ADV là))))))) (PUNCT ,)))) (CCONJ e) (f (sn (sq (DET tutte)) (DET le) (PROPN Triglie)) (ibar (PRON gli) (VERB facevano)) (compt (sn (DET l’) (NOUN occhietto)))) (PUNCT ,) (fc (CCONJ ma) (f (sn (PRON lui)) (ibar (ADV non) (PRON le) (VERB guardava)) (compin (savv (ADV neppure))))) (PUNCT .)))",5.28 ± 2.17,2.668044485
11,1,in,in,ADP,case,mare,"(ROOT (fc (f (sn (DET Il) (NOUN principe) (sn (PROPN Tonno))) (ibar (VERB nuotava)) (compin (sp (ADP in) (sn (DET il) (sa (ADJ verde)) (NOUN mare))) (fp (PUNCT ,) (sv5 (VERB muovendo) (compt (sn (DET la) (NOUN coda) (coord (spd (ADP di) (savv (ADV qua))) (CCONJ e) (spd (ADP di) (savv (ADV là))))))) (PUNCT ,)))) (CCONJ e) (f (sn (sq (DET tutte)) (DET le) (PROPN Triglie)) (ibar (PRON gli) (VERB facevano)) (compt (sn (DET l’) (NOUN occhietto)))) (PUNCT ,) (fc (CCONJ ma) (f (sn (PRON lui)) (ibar (ADV non) (PRON le) (VERB guardava)) (compin (savv (ADV neppure))))) (PUNCT .)))",,6.797274494
12,1,il,il,DET,det,mare,"(ROOT (fc (f (sn (DET Il) (NOUN principe) (sn (PROPN Tonno))) (ibar (VERB nuotava)) (compin (sp (ADP in) (sn (DET il) (sa (ADJ verde)) (NOUN mare))) (fp (PUNCT ,) (sv5 (VERB muovendo) (compt (sn (DET la) (NOUN coda) (coord (spd (ADP di) (savv (ADV qua))) (CCONJ e) (spd (ADP di) (savv (ADV là))))))) (PUNCT ,)))) (CCONJ e) (f (sn (sq (DET tutte)) (DET le) (PROPN Triglie)) (ibar (PRON gli) (VERB facevano)) (compt (sn (DET l’) (NOUN occhietto)))) (PUNCT ,) (fc (CCONJ ma) (f (sn (PRON lui)) (ibar (ADV non) (PRON le) (VERB guardava)) (compin (savv (ADV neppure))))) (PUNCT .)))",,7.039560886
13,1,verde,verde,ADJ,amod,mare,"(ROOT (fc (f (sn (DET Il) (NOUN principe) (sn (PROPN Tonno))) (ibar (VERB nuotava)) (compin (sp (ADP in) (sn (DET il) (sa (ADJ verde)) (NOUN mare))) (fp (PUNCT ,) (sv5 (VERB muovendo) (compt (sn (DET la) (NOUN coda) (coord (spd (ADP di) (savv (ADV qua))) (CCONJ e) (spd (ADP di) (savv (ADV là))))))) (PUNCT ,)))) (CCONJ e) (f (sn (sq (DET tutte)) (DET le) (PROPN Triglie)) (ibar (PRON gli) (VERB facevano)) (compt (sn (DET l’) (NOUN occhietto)))) (PUNCT ,) (fc (CCONJ ma) (f (sn (PRON lui)) (ibar (ADV non) (PRON le) (VERB guardava)) (compin (savv (ADV neppure))))) (PUNCT .)))",3.84 ± 1.37,4.586948127
14,1,mare,mare,NOUN,obl,nuotava,"(ROOT (fc (f (sn (DET Il) (NOUN principe) (sn (PROPN Tonno))) (ibar (VERB nuotava)) (compin (sp (ADP in) (sn (DET il) (sa (ADJ verde)) (NOUN mare))) (fp (PUNCT ,) (sv5 (VERB muovendo) (compt (sn (DET la) (NOUN coda) (coord (spd (ADP di) (savv (ADV qua))) (CCONJ e) (spd (ADP di) (savv (ADV là))))))) (PUNCT ,)))) (CCONJ e) (f (sn (sq (DET tutte)) (DET le) (PROPN Triglie)) (ibar (PRON gli) (VERB facevano)) (compt (sn (DET l’) (NOUN occhietto)))) (PUNCT ,) (fc (CCONJ ma) (f (sn (PRON lui)) (ibar (ADV non) (PRON le) (VERB guardava)) (compin (savv (ADV neppure))))) (PUNCT .)))",3.72 ± 1.40,4.729999329
15,1,,,PUNCT,punct,nuotava,"(ROOT (fc (f (sn (DET Il) (NOUN principe) (sn (PROPN Tonno))) (ibar (VERB nuotava)) (compin (sp (ADP in) (sn (DET il) (sa (ADJ verde)) (NOUN mare))) (fp (PUNCT ,) (sv5 (VERB muovendo) (compt (sn (DET la) (NOUN coda) (coord (spd (ADP di) (savv (ADV qua))) (CCONJ e) (spd (ADP di) (savv (ADV là))))))) (PUNCT ,)))) (CCONJ e) (f (sn (sq (DET tutte)) (DET le) (PROPN Triglie)) (ibar (PRON gli) (VERB facevano)) (compt (sn (DET l’) (NOUN occhietto)))) (PUNCT ,) (fc (CCONJ ma) (f (sn (PRON lui)) (ibar (ADV non) (PRON le) (VERB guardava)) (compin (savv (ADV neppure))))) (PUNCT .)))",,
16,1,muovendo,muovere,VERB,advcl,nuotava,"(ROOT (fc (f (sn (DET Il) (NOUN principe) (sn (PROPN Tonno))) (ibar (VERB nuotava)) (compin (sp (ADP in) (sn (DET il) (sa (ADJ verde)) (NOUN mare))) (fp (PUNCT ,) (sv5 (VERB muovendo) (compt (sn (DET la) (NOUN coda) (coord (spd (ADP di) (savv (ADV qua))) (CCONJ e) (spd (ADP di) (savv (ADV là))))))) (PUNCT ,)))) (CCONJ e) (f (sn (sq (DET tutte)) (DET le) (PROPN Triglie)) (ibar (PRON gli) (VERB facevano)) (compt (sn (DET l’) (NOUN occhietto)))) (PUNCT ,) (fc (CCONJ ma) (f (sn (PRON lui)) (ibar (ADV non) (PRON le) (VERB guardava)) (compin (savv (ADV neppure))))) (PUNCT .)))",,3.875319708
17,1,la,il,DET,det,coda,"(ROOT (fc (f (sn (DET Il) (NOUN principe) (sn (PROPN Tonno))) (ibar (VERB nuotava)) (compin (sp (ADP in) (sn (DET il) (sa (ADJ verde)) (NOUN mare))) (fp (PUNCT ,) (sv5 (VERB muovendo) (compt (sn (DET la) (NOUN coda) (coord (spd (ADP di) (savv (ADV qua))) (CCONJ e) (spd (ADP di) (savv (ADV là))))))) (PUNCT ,)))) (CCONJ e) (f (sn (sq (DET tutte)) (DET le) (PROPN Triglie)) (ibar (PRON gli) (VERB facevano)) (compt (sn (DET l’) (NOUN occhietto)))) (PUNCT ,) (fc (CCONJ ma) (f (sn (PRON lui)) (ibar (ADV non) (PRON le) (VERB guardava)) (compin (savv (ADV neppure))))) (PUNCT .)))",,7.055331658
