sentence_ids,tokens_no_punct,lemma_no_punct,PoS,depparse,head,constituency,AoA(m+sd),Zipf_freq
12,piccolo,piccolo,ADJ,amod,ragno,,4.12 ± 3.18,5.291431625
12,ragno,ragno,NOUN,nsubj,tesse,,4.48 ± 0.96,3.818289087
12,tesse,tessere,VERB,root,ROOT,,,2.660745246
12,e,e,CCONJ,cc,tace,,,2.741151583
12,tace,tacere,VERB,conj,tesse,,,2.829412487
12,,,PUNCT,punct,tesse,,,
13,arriva,arrivare,VERB,root,ROOT,,,4.940504965
13,la,il,DET,det,pecora,,,7.055331658
13,pecora,pecora,NOUN,nsubj,Arriva,,3.28 ± 1.21,3.645005501
13,e,e,CCONJ,cc,dice,,,2.741151583
13,gli,gli,PRON,iobj,dice,,,6.227520191
13,dice,dire,VERB,conj,Arriva,,4.08 ± 1.73,5.609257672
13,,,PUNCT,punct,Arriva,,,
14,,,PUNCT,punct,Beee!,,,
14,,,PUNCT,punct,Beee!,,,
14,beee,Beee,INTJ,root,ROOT,,,1.734991274
14,beee,Beee,PROPN,vocative,Beee!,,,1.734991274
14,,,PUNCT,punct,Beee!,,,
15,andiamo,andare,VERB,root,ROOT,,4.20 ± 1.44,5.868904099
15,insieme,insieme,ADV,advmod,Andiamo,,,5.500638545
15,per,per,ADP,case,prati,,,6.912435835
15,prati,prato,NOUN,obl,Andiamo,,4.96 ± 2.21,3.112609706
15,,,PUNCT,punct,Andiamo,,,
16,,,PUNCT,root,ROOT,,,
16,,,PUNCT,punct,>,,,
16,,,PUNCT,punct,>,,,
17,il,il,DET,det,ragno,,,7.039560886
17,piccolo,piccolo,ADJ,amod,ragno,,4.12 ± 3.18,5.291431625
17,ragno,ragno,NOUN,nsubj,tesse,,4.48 ± 0.96,3.818289087
17,tesse,tessere,VERB,root,ROOT,,,2.660745246
17,e,e,CCONJ,cc,tace,,,2.741151583
17,tace,tacere,VERB,conj,tesse,,,2.829412487
17,,,PUNCT,punct,tesse,,,
