word,semantic_dissimilarity
Il,
contadino,0.7320556640625
astrologo,0.4692511558532715
Un,0.3160412907600403
Re,0.3007504940032959
aveva,0.30784982442855835
perduto,0.3132461905479431
un,0.23248279094696045
anello,0.20830994844436646
prezioso,0.21951279044151306
Cerca,0.3230017423629761
qua,0.3494825065135956
cerca,0.2600405812263489
là,0.29041892290115356
non,0.2127564549446106
si,0.2523496747016907
trova,0.18800458312034607
Mise,0.4718466103076935
fuori,0.24444597959518433
un,0.16915488243103027
bando,0.3206895589828491
che,0.16427332162857056
se,0.21985507011413574
un,0.19402861595153809
astrologo,0.38748517632484436
gli,0.2633158564567566
sa,0.2569538950920105
dire,0.2745041847229004
dov',0.6172739863395691
è,0.2386617362499237
lo,0.18406420946121216
fa,0.17012256383895874
ricco,0.2667773365974426
per,0.2251073718070984
tutta,0.31051361560821533
la,0.33510494232177734
vita,0.21697670221328735
C',0.6601338386535645
era,0.33431923389434814
un,0.22906863689422607
contadino,0.35569119453430176
senza,0.24694311618804932
un,0.31461668014526367
soldo,0.3197517693042755
che,0.19211846590042114
non,0.18216407299041748
sapeva,0.3717808723449707
né,0.4470456838607788
leggere,0.22169506549835205
né,0.3527801036834717
scrivere,0.22794976830482483
e,0.26120811700820923
si,0.29993224143981934
chiamava,0.3320350646972656
Gàmbara,0.45596742630004883
Sarà,0.4148903787136078
tanto,0.3194863796234131
difficile,0.3196605443954468
far,0.2977752685546875
l',0.608748733997345
astrologo,0.40123143792152405
si,0.3321210741996765
disse,0.35500025749206543
Mi,0.23237299919128418
ci,0.32491475343704224
voglio,0.2833598256111145
provare,0.3097883462905884
E,0.30549514293670654
andò,0.3839588761329651
dal,0.2977691888809204
Re,0.3213686943054199
che,0.261993944644928
lo,0.17794328927993774
prese,0.28217023611068726
in,0.4126094579696655
parola,0.323184996843338
e,0.19353735446929932
lo,0.1983942985534668
chiuse,0.2865692973136902
a,0.2531244158744812
studiare,0.3297240734100342
in,0.21203351020812988
una,0.24704325199127197
stanza,0.23509737849235535
Dove,0.3714156150817871
c',0.5991262197494507
erano,0.374481201171875
solo,0.19105756282806396
un,0.2224162220954895
letto,0.2392062544822693
e,0.17419230937957764
un,0.1952662467956543
tavolo,0.23503351211547852
con,0.15509337186813354
un,0.16722089052200317
gran,0.3155139088630676
libraccio,0.3467206656932831
d',0.5859174132347107
astrologia,0.39683571457862854
e,0.2106536626815796
penna,0.27478158473968506
carta,0.1958940029144287
e,0.16025137901306152
calamaio,0.3552940785884857
Gàmbara,0.5289822816848755
si,0.3350726366043091
sedette,0.5883619785308838
al,0.35496461391448975
tavolo,0.2777947783470154
e,0.21462273597717285
cominciò,0.4897732138633728
a,0.28169113397598267
scartabellare,0.40064820647239685
il,0.22357141971588135
libro,0.2824856638908386
senza,0.22809118032455444
capirci,0.36472299695014954
niente,0.35596251487731934
e,0.2145233154296875
a,0.23865175247192383
farci,0.29501503705978394
dei,0.2869755029678345
segni,0.3058955669403076
con,0.2737143039703369
la,0.2967555522918701
penna,0.23444858193397522
Siccome,0.5325136184692383
non,0.20168250799179077
sapeva,0.3593326210975647
scrivere,0.17249193787574768
venivano,0.36284393072128296
fuori,0.24223673343658447
dei,0.22066622972488403
segni,0.23656713962554932
ben,0.2532185912132263
strani,0.2745188772678375
e,0.22465842962265015
i,0.19640660285949707
servi,0.31146591901779175
che,0.20958632230758667
entravano,0.2994460165500641
due,0.28631865978240967
volte,0.30003857612609863
al,0.37818020582199097
giorno,0.2794301509857178
a,0.33799809217453003
portargli,0.3532244563102722
da,0.2883812189102173
mangiare,0.23281905055046082
si,0.23082351684570312
fecero,0.4575234055519104
l',0.6367937922477722
idea,0.3445482850074768
