TOKEN,BEGIN,ORT
0,0,
1,89082,Le
2,99225,due
3,112896,Befane
4,141561,
5,224028,La
6,232848,Befana
7,262395,
8,273420,volava
9,299880,cavallo
10,325458,della
11,336042,scopa
12,364266,
13,391167,Vola
14,411453,e
15,418509,vola
16,439236,
17,452025,a
18,459081,un
19,466137,certo
20,482895,punto
21,505827,vide
22,519057,una
23,535815,vecchina
24,567567,
25,575064,proprio
26,597996,uguale
27,619605,a
28,623574,li
29,646506,
30,660177,a
31,666351,cavallo
32,694134,di
33,697662,una
34,704277,scopa
35,729414,
36,789390,
37,791154,
38,792477,sei
39,818937,
40,839223,
41,842310,
42,845397,
43,850689,
44,854658,
45,856422,la
46,862155,Befana
47,889056,
48,910224,e
49,915957,quella
50,929187,rispose
51,960498,
52,967995,
53,976374,
54,979461,
55,981225,
56,982989,la
57,988722,Befana
58,1014741,
59,1046934,Eh
60,1055313,no
61,1068543,
62,1080009,La
63,1083537,Befana
64,1099413,sono
65,1109115,io
66,1131165,
67,1149246,disse
68,1167768,la
69,1173060,Befana
70,1202607,
71,1240533,Non
72,1247589,vedi
73,1263024,che
74,1266552,ho
75,1270080,la
76,1277136,scopa
77,1308888,
78,1313739,il
79,1322118,naso
80,1337994,lungo
81,1359162,eccetera
82,1392237,
83,1411200,
84,1416051,
85,1417374,
86,1421784,
87,1423548,
88,1425753,io
89,1438542,ce
90,1444275,li
91,1449567,ho
92,1458387,
93,1477350,
94,1483965,
95,1491462,
96,1494549,
97,1496754,l’
98,1498518,altra
99,1521891,
100,1549233,
101,1552320,
102,1555848,vedi
103,1569078,che
104,1576134,volo
105,1597743,
106,1617147,
107,1621116,
108,1625526,
109,1629054,
110,1632582,anche
111,1639638,io
112,1662129,
113,1681533,
114,1685061,
115,1692999,
116,1696527,
117,1698732,la
118,1703583,seconda
119,1739304,
120,1773702,Non
121,1782081,vedi
122,1796193,che
123,1799280,ho
124,1802367,il
125,1812069,sacco
126,1829268,pieno
