sentence_ids,tokens_no_punct,lemma_no_punct,PoS,depparse,head,constituency,AoA(m+sd),Zipf_freq
0,il,il,DET,det,ciuccio,,,7.039560886
0,ciuccio,ciuccio,NOUN,root,ROOT,,2.96 ± 1.57,2.858376183
0,di,di,ADP,case,Nina,,,7.232814475
0,nina,Nina,PROPN,nmod,ciuccio,,,1.668044485
0,,,PUNCT,punct,ciuccio,,,
1,“,“,PUNCT,punct,smetterai,,,
1,quando,quando,SCONJ,mark,smetterai,,,6.212844009
1,smetterai,smettere,VERB,root,ROOT,,,3.447400436
1,di,di,ADP,mark,tenere,,,7.232814475
1,tenere,tenere,VERB,xcomp,smetterai,,4.40 ± 1.89,4.891020935
1,sempre,sempre,ADV,advmod,tenere,,,5.921350175
1,quel,quello,DET,det,ciuccio,,,5.90824416
1,ciuccio,ciuccio,NOUN,obj,tenere,,2.96 ± 1.57,2.858376183
1,,,PUNCT,punct,smetterai,,,
1,”,”,PUNCT,punct,smetterai,,,
1,,,PUNCT,punct,smetterai,,,
1,chiede,chiedere,VERB,parataxis,smetterai,,,4.493578784
1,la,il,DET,det,mamma,,,7.055331658
1,mamma,mamma,NOUN,nsubj,chiede,,1.88 ± 1.27,5.66327005
1,a,a,ADP,case,Nina,,,7.004335738
1,nina,Nina,PROPN,obl,chiede,,,1.668044485
1,,,PUNCT,punct,chiede,,,
2,“,“,PUNCT,punct,Mai!,,,
2,mai,Mai,INTJ,discourse,risponde,,,6.144963021
2,”,”,PUNCT,punct,Mai!,,,
2,,,PUNCT,punct,Mai!,,,
2,risponde,rispondere,VERB,root,ROOT,,3.88 ± 1.59,4.376323713
2,nina,Nina,PROPN,nsubj,risponde,,,1.668044485
2,,,PUNCT,punct,risponde,,,
3,“,“,PUNCT,punct,ciuccio,,,
3,è,essere,AUX,cop,ciuccio,,,7.249521761
3,il,il,DET,det,ciuccio,,,7.039560886
3,mio,mio,DET,det:poss,ciuccio,,,6.336217551
3,ciuccio,ciuccio,NOUN,root,ROOT,,2.96 ± 1.57,2.858376183
3,,,PUNCT,punct,ciuccio,,,
3,”,”,PUNCT,punct,ciuccio,,,
3,,,PUNCT,punct,ciuccio,,,
4,“,“,PUNCT,punct,grande,,,
4,ma,ma,CCONJ,cc,grande,,,6.662005813
4,quando,quando,ADV,advmod,grande,,,6.212844009
4,sarai,essere,AUX,cop,grande,,,5.007827069
4,grande,grande,ADJ,root,ROOT,,4.64 ± 2.04,5.615282093
4,dovrai,dovere,VERB,parataxis,grande,,,4.754226289
5,sbarazzar,sbarazzare,VERB,root,ROOT,,,
5,te,te,PRON,expl,sbarazzar,,,6.290869614
5,ne,ne,PRON,iob,sbarazzar,,,6.201935117
5,,,PUNCT,punct,sbarazzar,,,
6,nina,Nina,PROPN,nsubj,mette,,,1.668044485
6,si,si,PRON,expl,mette,,,6.553884221
6,mette,mettere,VERB,root,ROOT,,4.28 ± 1.59,4.624212915
6,il,il,DET,det,ciuccio,,,7.039560886
6,ciuccio,ciuccio,NOUN,obj,mette,,2.96 ± 1.57,2.858376183
6,in,in,ADP,case,bocca,,,6.797274494
6,bocca,bocca,NOUN,obl,mette,,2.44 ± 1.08,4.963684877
6,,,PUNCT,punct,mette,,,
