sentence_ids,tokens,tokens_no_punct,lemma,lemma_no_punct,PoS,depparse,head,constituency,AoA(m+sd),Zipf_freq
0,“,“,“,“,PUNCT,punct,smetterai,,,
0,Quando,quando,quando,quando,SCONJ,mark,smetterai,,,"6,212844009"
0,smetterai,smetterai,smettere,smettere,VERB,root,ROOT,,,"3,447400436"
0,di,di,di,di,ADP,mark,tenere,,,"7,232814475"
0,tenere,tenere,tenere,tenere,VERB,xcomp,smetterai,,4.40 ± 1.89,"4,891020935"
0,sempre,sempre,sempre,sempre,ADV,advmod,tenere,,,"5,921350175"
0,quel,quel,quello,quello,DET,det,ciuccio,,,"5,90824416"
0,ciuccio,ciuccio,ciuccio,ciuccio,NOUN,obj,tenere,,2.96 ± 1.57,"2,858376183"
0,?,,?,,PUNCT,punct,smetterai,,,
0,”,”,”,”,PUNCT,punct,smetterai,,,
0,",",,",",,PUNCT,punct,smetterai,,,
0,chiede,chiede,chiedere,chiedere,VERB,parataxis,smetterai,,,"4,493578784"
0,la,la,il,il,DET,det,mamma,,,"7,055331658"
0,mamma,mamma,mamma,mamma,NOUN,nsubj,chiede,,1.88 ± 1.27,"5,66327005"
0,a,a,a,a,ADP,case,Nina,,,"7,004335738"
0,Nina,nina,Nina,Nina,PROPN,obl,chiede,,,"1,668044485"
0,.,,.,,PUNCT,punct,chiede,,,
1,“,“,“,“,PUNCT,punct,Mai!,,,
1,Mai!,mai,Mai!,Mai,INTJ,discourse,risponde,,,"6,144963021"
1,”,”,”,”,PUNCT,punct,Mai!,,,
1,",",,",",,PUNCT,punct,Mai!,,,
1,risponde,risponde,rispondere,rispondere,VERB,root,ROOT,,3.88 ± 1.59,"4,376323713"
1,Nina,nina,Nina,Nina,PROPN,nsubj,risponde,,,"1,668044485"
1,.,,.,,PUNCT,punct,risponde,,,
2,“,“,“,“,PUNCT,punct,ciuccio,,,
2,È,è,essere,essere,AUX,cop,ciuccio,,,"7,249521761"
2,il,il,il,il,DET,det,ciuccio,,,"7,039560886"
2,mio,mio,mio,mio,DET,det:poss,ciuccio,,,"6,336217551"
2,ciuccio,ciuccio,ciuccio,ciuccio,NOUN,root,ROOT,,2.96 ± 1.57,"2,858376183"
2,!,,!,,PUNCT,punct,ciuccio,,,
2,”,”,”,”,PUNCT,punct,ciuccio,,,
2,.,,.,,PUNCT,punct,ciuccio,,,
3,“,“,“,“,PUNCT,punct,grande,,,
3,Ma,ma,ma,ma,CCONJ,cc,grande,,,"6,662005813"
3,quando,quando,quando,quando,ADV,advmod,grande,,,"6,212844009"
3,sarai,sarai,essere,essere,AUX,cop,grande,,,"5,007827069"
3,grande,grande,grande,grande,ADJ,root,ROOT,,4.64 ± 2.04,"5,615282093"
3,dovrai,dovrai,dovere,dovere,VERB,parataxis,grande,,,"4,754226289"
4,sbarazzar,sbarazzar,sbarazzare,sbarazzare,VERB,root,ROOT,,,
4,te,te,te,te,PRON,expl,sbarazzar,,,"6,290869614"
4,ne,ne,ne,ne,PRON,iob,sbarazzar,,,"6,201935117"
4,!,,!,,PUNCT,punct,sbarazzar,,,
5,Nina,nina,Nina,Nina,PROPN,nsubj,mette,,,"1,668044485"
5,si,si,si,si,PRON,expl,mette,,,"6,553884221"
5,mette,mette,mettere,mettere,VERB,root,ROOT,,4.28 ± 1.59,"4,624212915"
5,il,il,il,il,DET,det,ciuccio,,,"7,039560886"
5,ciuccio,ciuccio,ciuccio,ciuccio,NOUN,obj,mette,,2.96 ± 1.57,"2,858376183"
5,in,in,in,in,ADP,case,bocca,,,"6,797274494"
5,bocca,bocca,bocca,bocca,NOUN,obl,mette,,2.44 ± 1.08,"4,963684877"
5,:,,:,,PUNCT,punct,mette,,,
6,“,“,“,“,PUNCT,punct,no,,,
6,Affolutamente,affolutamente,affolutamente,affolutamente,ADV,advmod,no,,,
6,no,no,no,no,INTJ,root,ROOT,,,"6,605764599"
6,!,,!,,PUNCT,punct,no,,,
7,Non,non,non,non,ADV,advmod,sbarazzerò,,,"7,259198169"
7,me,me,me,me,PRON,expl,sbarazzerò,,,"6,337855516"
7,ne,ne,ne,ne,PRON,iobj,sbarazzerò,,,"6,201935117"
7,sbarazzerò,sbarazzerò,sbarazzare,sbarazzare,VERB,root,ROOT,,,"2,630255924"
7,mai,mai,mai,mai,ADV,advmod,sbarazzerò,,,"6,144963021"
7,”,”,”,”,PUNCT,punct,sbarazzerò,,,
7,.,,.,,PUNCT,punct,sbarazzerò,,,
8,La,la,il,il,DET,det,mamma,,,"7,055331658"
8,mamma,mamma,mamma,mamma,NOUN,nsubj,dice,,1.88 ± 1.27,"5,66327005"
8,allora,allora,allora,allora,ADV,advmod,dice,,,"6,072527547"
8,le,le,le,le,PRON,iobj,dice,,,"6,624997683"
8,dice,dice,dire,dire,VERB,root,ROOT,,4.08 ± 1.73,"5,609257672"
8,:,,:,,PUNCT,punct,dice,,,
9,“,“,“,“,PUNCT,punct,porterai,,,
9,Lo,lo,lo,lo,PRON,obj,porterai,,,"6,655915487"
9,porterai,porterai,portare,portare,VERB,root,ROOT,,4.52 ± 2.06,"3,791896126"
9,anche,anche,anche,anche,ADV,advmod,andrai,,,"6,115086172"
9,quando,quando,quando,quando,SCONJ,mark,andrai,,,"6,212844009"
9,andrai,andrai,andare,andare,VERB,advcl,porterai,,4.20 ± 1.44,"4,532654438"
9,a,a,a,a,ADP,case,spasso,,,"7,004335738"
9,spasso,spasso,spasso,spasso,NOUN,obl,andrai,,,"3,964709675"
9,?,,?,,PUNCT,punct,porterai,,,
10,”,”,”,”,PUNCT,punct,Ficuro,,,
10,“,“,“,“,PUNCT,punct,Ficuro,,,
10,Ficuro,ficuro,ficuro,ficuro,NOUN,root,ROOT,,,
10,",",,",",,PUNCT,punct,Ficuro,,,
10,assieme,assieme,assieme,assieme,ADV,case,bissscotti,,,"4,446678017"
10,a,a,a,a,ADP,fixed,assieme,,,"7,004335738"
10,i,i,il,il,DET,det,bissscotti,,,"6,584780852"
10,bissscotti,bissscotti,bissscotto,bissscotto,NOUN,nmod,Ficuro,,,
10,a,a,a,a,ADP,case,cioccolato,,,"7,004335738"
10,il,il,il,il,DET,det,cioccolato,,,"7,039560886"
10,cioccolato,cioccolato,cioccolato,cioccolato,NOUN,nmod,bissscotti,,3.52 ± 1.45,"4,259294648"
10,!,,!,,PUNCT,punct,Ficuro,,,
10,”,”,”,”,PUNCT,punct,Ficuro,,,
10,",",,",",,PUNCT,punct,Ficuro,,,
10,risponde,risponde,rispondere,rispondere,VERB,parataxis,Ficuro,,3.88 ± 1.59,"4,376323713"
10,sicura,sicura,sicuro,sicuro,ADJ,xcomp,risponde,,5.80 ± 1.61,"5,13754741"
10,Nina,nina,Nina,Nina,PROPN,nsubj,risponde,,,"1,668044485"
10,.,,.,,PUNCT,punct,Ficuro,,,
11,La,la,il,il,DET,det,mamma,,,"7,055331658"
11,mamma,mamma,mamma,mamma,NOUN,nsubj,dice,,1.88 ± 1.27,"5,66327005"
11,allora,allora,allora,allora,ADV,advmod,dice,,,"6,072527547"
11,le,le,le,le,PRON,iobj,dice,,,"6,624997683"
11,dice,dice,dire,dire,VERB,root,ROOT,,4.08 ± 1.73,"5,609257672"
11,:,,:,,PUNCT,punct,dice,,,
12,“,“,“,“,PUNCT,punct,andrai,,,
12,Anche,anche,anche,anche,ADV,advmod,andrai,,,"6,115086172"
12,quando,quando,quando,quando,SCONJ,mark,andrai,,,"6,212844009"
12,andrai,andrai,andare,andare,VERB,root,ROOT,,4.20 ± 1.44,"4,532654438"
12,in,in,in,in,ADP,case,piscina,,,"6,797274494"
