token_id,sentence_ids,tokens_no_punct,lemma_no_punct,PoS,depparse,head,constituency,AoA(m+sd),Zipf_freq
1,0,il,il,DET,det,re,(ROOT (f3 (sn (DET Il) (NOUN re) (sn (NOUN parrucchiere))) (PUNCT .))),,7.039560886
2,0,re,re,NOUN,root,ROOT,(ROOT (f3 (sn (DET Il) (NOUN re) (sn (NOUN parrucchiere))) (PUNCT .))),4.24 ± 1.76,5.011715611
3,0,parrucchiere,parrucchiere,NOUN,compound,re,(ROOT (f3 (sn (DET Il) (NOUN re) (sn (NOUN parrucchiere))) (PUNCT .))),5.24 ± 1.64,3.537276204
4,0,,,PUNCT,punct,re,(ROOT (f3 (sn (DET Il) (NOUN re) (sn (NOUN parrucchiere))) (PUNCT .))),,
5,1,c’,ci,PRON,expl,era,"(ROOT (dirsp (f (ibar (PRON C’) (VERB era)) (compc (sn (DET una) (NOUN volta)) (sn (DET un) (NOUN regno) (spd (ADP di) (sn (NOUN foreste)))))) (PUNCT :) (f3 (sn (NOUN alberi) (sa (ADJ belli)) (f2 (PRON che) (f (ibar (PRON si) (VERB stendevano)) (compin (savv (ADV dappertutto)) (sv5 (VERB colorando) (compt (sn (DET la) (NOUN terra) (spd (ADP di) (sn (NOUN verde)))))) (PUNCT ,) (sv5 (VERB profumando) (compt (sn (DET il) (NOUN cielo)) (sp (ADP con) (sn (DET le) (NOUN foglie) (sa (ADJ spettinate)))))))))) (PUNCT .))))",,
6,1,era,essere,VERB,root,ROOT,"(ROOT (dirsp (f (ibar (PRON C’) (VERB era)) (compc (sn (DET una) (NOUN volta)) (sn (DET un) (NOUN regno) (spd (ADP di) (sn (NOUN foreste)))))) (PUNCT :) (f3 (sn (NOUN alberi) (sa (ADJ belli)) (f2 (PRON che) (f (ibar (PRON si) (VERB stendevano)) (compin (savv (ADV dappertutto)) (sv5 (VERB colorando) (compt (sn (DET la) (NOUN terra) (spd (ADP di) (sn (NOUN verde)))))) (PUNCT ,) (sv5 (VERB profumando) (compt (sn (DET il) (NOUN cielo)) (sp (ADP con) (sn (DET le) (NOUN foglie) (sa (ADJ spettinate)))))))))) (PUNCT .))))",,6.283626334
7,1,una,uno,DET,det,volta,"(ROOT (dirsp (f (ibar (PRON C’) (VERB era)) (compc (sn (DET una) (NOUN volta)) (sn (DET un) (NOUN regno) (spd (ADP di) (sn (NOUN foreste)))))) (PUNCT :) (f3 (sn (NOUN alberi) (sa (ADJ belli)) (f2 (PRON che) (f (ibar (PRON si) (VERB stendevano)) (compin (savv (ADV dappertutto)) (sv5 (VERB colorando) (compt (sn (DET la) (NOUN terra) (spd (ADP di) (sn (NOUN verde)))))) (PUNCT ,) (sv5 (VERB profumando) (compt (sn (DET il) (NOUN cielo)) (sp (ADP con) (sn (DET le) (NOUN foglie) (sa (ADJ spettinate)))))))))) (PUNCT .))))",,6.801817508
8,1,volta,volta,NOUN,obl,era,"(ROOT (dirsp (f (ibar (PRON C’) (VERB era)) (compc (sn (DET una) (NOUN volta)) (sn (DET un) (NOUN regno) (spd (ADP di) (sn (NOUN foreste)))))) (PUNCT :) (f3 (sn (NOUN alberi) (sa (ADJ belli)) (f2 (PRON che) (f (ibar (PRON si) (VERB stendevano)) (compin (savv (ADV dappertutto)) (sv5 (VERB colorando) (compt (sn (DET la) (NOUN terra) (spd (ADP di) (sn (NOUN verde)))))) (PUNCT ,) (sv5 (VERB profumando) (compt (sn (DET il) (NOUN cielo)) (sp (ADP con) (sn (DET le) (NOUN foglie) (sa (ADJ spettinate)))))))))) (PUNCT .))))",,5.820011577
9,1,un,uno,DET,det,regno,"(ROOT (dirsp (f (ibar (PRON C’) (VERB era)) (compc (sn (DET una) (NOUN volta)) (sn (DET un) (NOUN regno) (spd (ADP di) (sn (NOUN foreste)))))) (PUNCT :) (f3 (sn (NOUN alberi) (sa (ADJ belli)) (f2 (PRON che) (f (ibar (PRON si) (VERB stendevano)) (compin (savv (ADV dappertutto)) (sv5 (VERB colorando) (compt (sn (DET la) (NOUN terra) (spd (ADP di) (sn (NOUN verde)))))) (PUNCT ,) (sv5 (VERB profumando) (compt (sn (DET il) (NOUN cielo)) (sp (ADP con) (sn (DET le) (NOUN foglie) (sa (ADJ spettinate)))))))))) (PUNCT .))))",,7.065833912
10,1,regno,regno,NOUN,nsubj,era,"(ROOT (dirsp (f (ibar (PRON C’) (VERB era)) (compc (sn (DET una) (NOUN volta)) (sn (DET un) (NOUN regno) (spd (ADP di) (sn (NOUN foreste)))))) (PUNCT :) (f3 (sn (NOUN alberi) (sa (ADJ belli)) (f2 (PRON che) (f (ibar (PRON si) (VERB stendevano)) (compin (savv (ADV dappertutto)) (sv5 (VERB colorando) (compt (sn (DET la) (NOUN terra) (spd (ADP di) (sn (NOUN verde)))))) (PUNCT ,) (sv5 (VERB profumando) (compt (sn (DET il) (NOUN cielo)) (sp (ADP con) (sn (DET le) (NOUN foglie) (sa (ADJ spettinate)))))))))) (PUNCT .))))",,4.341833104
